# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn87.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997983 
# Number of iterations (recorded+unrecorded): 1018991621 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	4969.74
999930.29	4318.78
1999839.58	3908.80
2999729.87	3327.83
3999680.16	2355.88
4999610.45	2383.88
5999610.74	3096.84
6999441.03	3596.81
7322088.35	1753.91
7999491.31	3476.82
8999460.60	18736.03
9999370.89	2545.87
10999341.18	4118.79
11999211.47	2354.88
12999181.76	2565.87
13999152.05	2204.89
14999101.34	3556.82
15999152.62	2274.88
16999031.91	1563.92
17998942.20	1813.91
18998962.49	3417.82
19998912.78	1603.92
20998893.06	1513.92
21998793.35	1543.92
22998742.64	2886.85
23998722.93	2936.85
24998573.22	1533.92
25998453.52	2695.86
26998433.80	3646.81
27998484.09	2845.85
28998433.38	2335.88
29998303.67	2675.86
30998262.96	3528.82
31998243.24	2084.89
32998224.53	1482.92
33998062.82	1815.91
34998093.11	3297.83
35998014.40	1542.92
36997924.69	1513.92
37997993.97	4229.78
38997795.27	3325.83
39997865.55	3386.82
40997734.84	2966.85
41997795.13	1493.92
42997694.42	1614.92
43997654.71	1834.91
44997555.00	1494.92
45997616.28	1753.91
46997415.58	2685.86
47997334.87	2366.88
48997306.15	1493.92
49997336.44	1834.91
50997196.73	1692.91
51997256.01	1524.92
52997187.30	1492.92
53997027.60	1583.92
54997036.88	1503.92
55997087.17	1493.92
56996997.46	1463.92
57996857.75	1812.91
58996837.04	1533.92
59996737.33	1513.92
60996768.61	1772.91
61996748.90	1501.92
62996607.19	1513.92
63996518.48	1833.91
64996548.77	2704.86
65996539.05	3726.81
66996389.35	2504.87
67996429.63	2734.86
68996357.92	2807.85
69996258.21	3597.81
70996109.51	2665.86
71996128.79	2826.85
72996239.07	2766.86
73996070.37	3096.84
74996069.65	2665.86
75995939.95	3447.82
76995970.23	3317.83
77995909.52	3568.82
78995840.81	3547.82
79995691.10	2444.87
80995721.39	3846.80
81995680.68	3757.81
82995670.96	3637.81
83995591.25	3176.84
84995560.54	2755.86
85995411.83	3977.79
86995402.12	2905.85
87995341.41	3607.81
88995200.70	1804.91
89995261.99	3667.81
90995151.28	3437.82
91995181.56	1814.91
92995062.85	1513.92
93994942.15	1834.91
94995043.43	2304.88
95994862.72	3426.82
96994953.00	2475.87
97994873.29	2575.87
98994843.58	3295.83
99994743.87	5951.69
100994733.16	2245.88
101994533.45	1854.90
102994603.74	2395.88
103994544.03	3306.83
104994484.32	1523.92
105994354.61	2513.87
106994403.89	1884.90
107994314.18	1634.92
108109694.22	1744.91
108994194.47	6482.66
109994264.76	2134.89
110994105.05	2434.87
111994095.34	2655.86
112994125.62	2073.89
113994105.91	2344.88
114994016.20	1472.92
115993895.49	1493.92
116993895.78	1493.92
117993756.07	1503.92
118993816.35	1493.92
119993675.65	1504.92
120993535.94	1483.92
121993575.22	1484.92
122993566.51	1804.91
123993566.80	1523.92
124993447.09	3466.82
125993347.38	3176.84
126993317.67	2795.86
127993296.95	2736.86
128993257.24	2225.88
129993187.53	1463.92
130993167.82	1824.91
131993058.11	1843.90
132993058.40	1473.92
133992947.69	1473.92
134992927.98	2405.88
135992938.26	3647.81
136992868.55	2465.87
137992788.84	3727.81
138992769.13	4378.77
139992689.42	4047.79
140992609.71	3015.84
141992579.00	2074.89
142992549.28	2144.89
143992449.57	3286.83
144992379.86	1533.92
145992290.15	1783.91
146992250.44	1492.92
147992249.73	1573.92
148992170.02	1834.91
149992210.30	1483.92
150992050.60	1873.90
