# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn943.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997584 
# Number of iterations (recorded+unrecorded): 989687325 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	341.98
193933.98	4459.72
1193767.04	3521.78
2193692.08	3241.80
3193627.13	3099.81
4193520.18	1321.92
5193426.23	2870.82
6193480.26	21720.65
7193374.31	4300.73
8193269.36	1770.89
9193283.40	5070.69
10193328.44	12240.24
11193042.50	2710.83
12193046.54	10041.38
13192971.59	2840.82
14192955.63	1520.91
15192899.68	3171.80
15276467.50	19779.77
16192853.72	2690.83
16408597.36	319.98
16916108.91	2369.85
17192768.77	1890.88
18192773.81	6180.62
19192627.86	3980.75
20192531.91	2520.84
21192596.95	62877.10
22192421.00	2800.83
23192355.05	3121.81
24192329.09	2010.88
25192264.14	3890.76
26192208.18	2001.88
27192213.22	1489.91
27602017.83	8811.45
28192126.27	2341.85
29191972.32	2420.85
30192035.36	1410.91
31191901.41	4510.72
32191755.46	3310.79
33191709.51	4571.72
34191794.54	1740.89
35191588.60	1650.90
36191543.64	3420.79
37191557.69	1520.91
38191551.73	4250.74
39191396.78	2000.88
40191310.83	1450.91
41191215.87	1350.92
42191189.92	2430.85
43191083.97	33249.94
44191139.01	3580.78
45190953.06	3120.81
46190928.10	1510.91
47190892.15	1820.89
48190786.20	1340.92
49190721.24	1300.92
50190625.29	1400.91
50529053.32	10670.34
51190619.33	4791.70
52190644.37	3290.80
53190578.42	2320.86
54190453.47	2610.84
55190387.51	2690.83
56190401.56	1730.89
57190256.61	2230.86
58190130.66	3520.78
59190134.70	1621.90
60190029.75	1620.90
61190063.79	2920.82
62189998.83	1479.91
63189842.88	2079.87
64189886.92	6471.60
65189821.97	2479.85
66189686.02	1510.91
67189651.06	1390.91
68189604.11	1471.91
69189529.16	1911.88
70189533.20	1541.90
71189347.25	2940.82
72189293.30	2610.84
73189337.34	2790.83
74189270.38	1391.91
75189126.43	1300.92
76189149.47	1561.90
77189075.52	1289.92
78188959.57	1300.92
78581365.26	380.98
79188862.62	1261.92
80188907.66	1271.92
80320773.49	380.98
81188802.70	1330.92
82188696.75	1499.91
83188611.80	1469.91
84188525.85	1320.92
85188620.88	1430.91
86188504.93	1280.92
87188377.98	1931.88
88188274.03	1360.92
89188237.08	1581.90
90188282.11	1501.91
91188197.16	2409.85
92188091.21	2580.84
93188125.25	4321.73
94188180.29	2559.84
95187923.35	1802.89
96187859.39	1370.92
97187832.44	2811.83
98187808.48	1289.92
99187702.53	1910.88
100187576.58	1509.91
100291682.13	451.97
101187531.62	1250.92
102187504.67	1231.92
102258093.29	17079.94
103187339.72	4801.70
104187284.76	3070.81
105187267.81	2982.82
106187173.86	1869.88
107187176.90	2451.85
108187082.94	1580.90
109187076.99	1330.92
110187001.03	3930.76
111186935.08	1650.90
112186890.12	1419.91
113186745.18	1260.92
113549521.70	5740.64
114186739.22	1899.88
115186772.26	1451.91
116186638.31	4310.73
117186592.35	5310.67
118186686.39	2200.86
119186391.45	1969.88
120186345.49	2749.83
120346009.60	3531.78
121186329.54	21399.67
122186314.58	2320.86
123139489.52	10670.34
123186227.63	4490.72
124186133.68	1929.88
125186077.72	1530.91
126186042.77	2310.86
127185996.81	1450.91
128185900.86	1280.92
129185775.91	3130.81
130185749.95	1630.90
131185654.00	1820.89
132185569.05	1320.92
133185493.09	1340.92
134185568.13	1430.91
135185452.18	3430.79
136185436.22	1590.90
137185301.27	1330.92
138185215.32	1330.92
139185140.37	1360.92
140185094.41	2250.86
141184988.46	2950.82
142185073.50	1560.90
143184907.55	1330.92
144184852.59	1420.91
145184856.64	2540.84
146184720.69	1400.91
147184705.73	4010.75
148184589.78	3190.80
149184604.82	2630.84
150184458.87	1440.91
151184492.91	1340.92
152184417.96	1510.91
153184392.00	1980.88
153953264.36	10851.33
154184306.05	5901.63
155184231.10	3990.75
156184125.14	4550.72
157184140.19	2220.86
158183994.24	1400.91
159183988.28	1510.91
160183823.33	1340.92
161183767.38	3630.78
162183721.42	1670.90
162575268.16	5160.68
163183696.46	1870.88
164183700.51	1360.92
165183625.55	2690.83
166183459.61	1660.90
167183393.65	4321.73
168183458.69	2830.82
169183292.74	1610.90
170183327.78	1390.91
171183171.83	2780.83
172183145.88	1360.92
173183080.92	2670.83
174183064.97	3280.80
175182930.02	2880.82
176182904.06	2100.87
177183028.09	3951.76
178182803.15	2460.85
179182637.20	2430.85
180182721.24	3131.81
181182626.29	1920.88
182182480.34	1440.91
183182535.38	1650.90
184182439.42	1700.89
185182433.47	1301.92
186182338.51	1290.92
187182222.56	2250.86
188182197.61	1330.92
189182131.65	1440.91
190181995.70	1570.90
191182020.74	1350.92
192181964.79	1360.92
193181739.85	1340.92
194181853.88	1610.90
195181737.93	1350.92
196181682.98	1330.92
197181597.02	2410.85
198181501.07	1370.92
199181466.11	5270.67
200181410.16	9691.40
201181305.21	5730.64
202181369.25	3290.80
203181173.30	2080.87
204181128.35	3590.78
205181172.38	2770.83
205960695.09	14190.12
206181127.43	2460.85
207181061.48	2110.87
208180955.52	5601.65
209180830.57	4020.75
210180714.62	2300.86
211180798.66	7341.55
211535696.67	5720.65
212180733.71	2400.85
213180547.76	2860.82
214180562.80	3690.77
215180436.85	1910.88
216180350.90	1381.91
217180325.94	1320.92
218180229.99	1480.91
219180305.03	1290.92
220180189.08	3930.76
220296984.84	2080.87
221180053.13	2671.83
222179998.17	14940.07
223180042.21	3730.77
224179927.26	1680.90
225179881.30	1320.92
226179795.35	3310.79
227179750.40	1880.88
228179724.44	1580.90
229179579.49	1330.92
230179493.54	1630.90
231179587.58	5450.66
232179592.62	3610.78
233179386.67	2610.84
234179360.72	1400.91
235179305.76	1360.92
236179219.81	1520.91
236180779.71	9631.40
237179174.85	3190.80
238179068.90	1380.91
239179042.94	1960.88
240178957.99	2710.83
241178902.04	1330.92
242178826.08	1311.92
243178731.13	1620.90
244178675.18	1310.92
245178580.23	2540.84
246178584.27	1280.92
247178488.32	1301.92
248178393.36	1270.92
249178437.40	1520.91
250178361.45	1440.91
251178266.50	1330.92
252178190.54	1279.92
253178075.59	1269.92
254178119.63	6539.59
255178033.68	1770.89
256177917.73	2741.83
257177851.77	2160.87
257705103.11	21740.65
258177826.82	4661.71
259177721.87	3870.76
260177665.91	4610.71
260620680.46	7729.52
261177719.95	3720.77
262177614.00	2671.83
263177429.05	1940.88
264177494.09	1470.91
265177419.14	4189.74
266177382.18	2420.85
266982413.30	9360.42
267116948.97	3001.81
267177267.23	1790.89
268177172.28	1590.90
269177175.32	1401.91
270177009.37	1561.90
271177035.41	3540.78
272176938.46	1631.90
273176854.51	2779.83
274176798.55	1640.90
275176701.60	1371.91
276176667.65	1320.92
277176581.69	3489.78
278176584.74	1732.89
279176590.78	1509.91
