#size	rtt
4	2.085000
4	2.180500
4	2.375000
4	2.104500
4	1.845000
4	2.105000
4	2.045000
4	2.070500
4	2.800500
4	1.999500
4	2.210000
4	2.000000
4	2.115500
4	2.135000
4	1.970000
4	2.115000
4	2.161000
4	2.809500
4	2.110000
4	2.570000
4	2.115500
4	2.089500
4	1.930000
4	2.066000
4	2.840000
4	2.880000
4	1.995000
4	2.035500
4	2.375500
4	2.045000
4	2.050000
4	2.420500
4	2.305500
4	1.950500
4	2.185000
4	1.880500
4	2.279500
4	2.045000
4	1.955500
4	1.960000
4	1.929500
4	1.910500
4	2.020000
4	2.050500
4	1.955000
4	2.035000
4	2.019500
4	1.960000
4	1.970000
4	2.055500
4	1.945500
4	1.880000
4	1.935000
4	1.900500
4	1.940000
4	1.850000
4	2.005500
4	1.860000
4	1.960500
4	4.920000
4	1.955500
4	2.006000
4	2.069500
4	1.975500
4	1.975000
4	2.605000
4	1.835500
4	2.390000
4	1.835000
4	2.129500
4	1.835000
4	2.110500
4	2.000000
4	2.025500
4	2.084500
4	2.075500
4	2.084500
4	4.365000
4	2.065000
4	2.096000
4	1.915500
4	2.054500
4	2.075000
4	2.076000
4	2.205000
4	2.170500
4	1.965000
4	2.005000
4	2.050000
4	1.855500
4	1.990500
4	2.080000
4	2.065000
4	2.035500
4	2.014500
4	1.950500
4	1.950000
4	1.970000
4	2.120500
4	2.080500
4	2.010500
4	1.890500
4	1.940500
4	2.045000
4	1.930500
4	2.120000
4	1.980500
4	4.765000
4	1.930000
4	1.975500
4	1.975500
4	2.265500
4	2.000500
4	2.015500
4	2.035000
4	2.060500
4	1.970000
4	1.970000
4	1.965500
4	1.935000
4	2.184500
4	1.930500
4	2.270000
4	2.060000
4	2.020000
4	1.925500
4	2.075500
4	1.880000
4	2.105000
4	1.950500
4	2.060500
4	1.945500
4	2.025000
4	2.010500
4	2.055000
4	1.920000
4	2.130000
4	2.250000
4	2.225500
4	2.060500
4	1.895000
4	2.000000
4	2.040500
4	2.061000
4	1.980500
4	2.045000
4	2.145000
4	1.970500
4	2.055000
4	1.910000
4	2.060000
4	1.985500
4	3.090000
4	2.099500
4	1.990000
4	1.970000
4	2.290500
4	1.905000
4	2.020000
4	1.955500
4	2.060000
4	1.870000
4	2.050000
4	1.986000
4	1.945000
4	1.945000
4	2.010000
4	2.330000
4	1.895500
4	2.230000
4	1.890000
4	2.115000
4	2.045500
4	1.915500
4	2.065000
4	2.025000
4	2.075500
4	2.040500
4	2.010000
4	1.950500
4	2.015500
4	1.910000
4	2.100000
4	2.080000
4	1.834500
4	1.875000
4	2.000000
4	2.165000
4	1.980500
4	1.940000
4	1.965000
4	2.020500
4	2.000000
4	2.015500
4	2.040000
4	2.140500
4	2.025000
4	2.370000
4	2.010500
4	2.055500
4	1.955000
4	2.020500
4	2.055000
4	2.135500
4	2.160000
4	1.990500
4	2.125500
4	2.095000
4	1.950000
4	1.975000
4	1.880500
4	2.135000
4	2.005000
4	1.980000
4	1.980500
4	1.965000
4	2.175000
4	2.889500
4	2.275000
4	1.995500
4	2.070000
4	1.965000
4	1.920500
4	2.061000
4	2.100000
4	2.010000
4	1.804500
4	2.065000
4	1.955000
4	1.880000
4	2.060000
4	1.905500
4	2.046000
4	1.910500
4	2.035000
4	1.940500
4	2.291000
4	1.820500
4	1.915000
4	2.000000
4	1.935500
4	1.945500
4	2.055000
4	2.060000
4	1.975000
4	1.870000
4	1.990500
4	2.030500
4	1.805500
4	2.055500
4	1.985500
4	1.945000
4	2.100500
4	2.035500
4	2.105000
4	2.030500
4	2.050500
4	2.105000
4	2.005000
4	2.315000
4	1.855500
4	2.025500
4	2.035000
4	2.070000
4	2.005000
4	2.005000
4	2.015000
4	1.980000
4	2.180500
4	1.915000
4	2.055500
4	1.940500
4	2.245000
4	1.940000
4	2.110000
4	2.000000
4	2.030000
4	2.064500
4	1.920000
4	1.965500
4	1.950000
4	2.025500
4	1.900500
4	1.975500
4	1.910000
4	2.170500
4	58.661500
4	2.080500
4	1.980000
4	1.995000
4	2.100000
4	1.870000
4	1.950000
4	2.055000
4	2.015500
4	1.965500
4	2.070000
4	1.925000
4	1.925500
4	2.090000
4	2.310000
4	1.825000
4	1.986000
4	1.935000
4	2.010500
4	1.890000
4	2.020500
4	2.005500
4	2.095500
4	1.915000
4	2.116000
4	2.170500
4	2.180000
4	2.045500
4	2.059500
4	2.305000
4	2.285000
4	1.890000
4	2.160000
4	1.950000
4	2.125000
4	1.990500
4	2.006000
4	2.130500
4	2.070500
4	1.965500
4	2.075000
4	1.920500
4	2.000000
4	2.015000
4	2.120000
4	1.925500
4	2.135500
4	2.130000
4	1.905500
4	1.965500
4	1.960500
4	1.970000
4	1.815500
4	1.911000
4	2.105500
4	1.905000
4	1.830000
4	2.045500
4	2.020500
4	2.275000
4	2.015000
4	2.240000
4	2.000000
4	2.065000
4	2.035000
4	2.055500
4	1.940000
4	2.270000
4	1.814500
4	1.970000
4	1.790500
4	2.145500
4	1.915500
4	1.985000
4	3.185500
4	1.905500
4	1.785000
4	2.060500
4	1.920500
4	1.951000
4	1.935000
4	1.960000
4	1.885000
4	1.955500
4	1.875500
4	1.960000
4	2.075000
4	2.045500
4	2.370500
4	2.240500
4	1.990000
4	2.035000
4	2.005500
4	1.935500
4	2.050500
4	2.040500
4	2.070500
4	2.015000
4	2.080000
4	1.885000
4	2.130500
4	1.975500
4	1.960500
4	2.075000
4	6.405500
4	2.235000
4	1.975500
4	1.925000
4	2.090500
4	2.215500
4	1.985000
4	1.930500
4	1.905000
4	2.285000
4	1.895000
4	1.990500
4	1.870000
4	2.010000
4	1.935500
4	3.239500
4	2.185000
4	1.920500
4	1.835500
4	1.915500
4	1.935500
4	1.956000
4	1.980000
4	1.995000
4	1.990500
4	2.165500
4	1.900000
4	2.020000
4	1.920000
4	2.156000
4	1.970000
4	2.045000
4	2.000000
4	2.275000
4	1.795500
4	1.960000
4	1.985000
4	3.340000
4	1.970500
4	1.915000
4	2.005000
4	1.950500
4	2.055500
4	2.175000
4	1.910000
4	2.195000
4	1.985000
4	2.050500
4	1.805000
4	1.920000
4	1.935000
4	2.106000
4	1.965000
4	2.720000
4	1.925000
4	2.000500
4	1.995000
4	1.935500
4	2.105000
4	1.856000
4	2.085000
4	2.040000
4	1.980500
4	2.015500
4	2.100500
4	1.995500
4	2.050000
4	1.960000
4	2.066000
4	1.910000
4	2.055000
4	1.880000
4	1.981000
4	1.970000
4	1.945500
4	2.190500
4	1.975000
4	2.065500
4	2.044500
4	2.010500
4	1.895500
4	2.290000
4	2.095000
4	2.000000
4	2.100500
4	2.130000
4	2.065500
4	1.930000
4	1.971000
4	2.070500
4	14.205000
4	2.065500
4	1.850000
4	2.120500
4	1.955000
4	2.005000
4	1.880000
4	2.045000
4	1.966000
4	1.935000
4	1.935500
4	1.945000
4	1.966000
4	2.060500
4	2.075000
4	4.445000
4	2.040500
4	2.305500
4	1.990000
4	1.985000
4	1.950000
4	1.855000
4	2.070500
4	1.890000
4	2.045000
4	2.155000
4	2.075500
4	2.000000
4	1.955000
4	2.145500
4	2.290000
4	2.145000
4	1.855000
4	2.011000
4	1.825000
4	2.035000
4	1.985000
4	1.921000
4	1.845000
4	1.975000
4	1.915000
4	2.005500
4	1.965500
4	1.945000
4	2.065000
4	2.185000
4	1.955000
4	1.880000
4	1.910000
4	1.980000
4	1.835000
4	1.960000
4	1.930000
4	2.035500
4	1.920000
4	2.015000
4	2.265000
4	1.890000
4	1.995500
4	1.920000
4	2.210000
4	1.950500
4	1.985000
4	1.825000
4	1.895000
4	2.030000
4	1.985000
4	1.965000
4	2.005000
4	2.115000
4	1.880000
4	2.055500
4	1.890500
4	1.935000
4	2.015500
4	2.180000
4	2.035500
4	2.055000
4	1.905500
4	1.965500
4	2.015500
4	1.960000
4	1.840000
4	2.110000
4	1.940000
4	2.050000
4	2.050000
4	2.345000
4	1.910000
4	1.895000
4	2.095000
4	1.990500
4	2.220000
4	1.955000
4	1.975000
4	2.070000
4	2.125000
4	2.180000
4	2.195000
4	1.920000
4	1.985500
4	2.015000
4	1.895000
4	2.110000
4	2.065500
4	2.385000
4	1.995000
4	1.920000
4	2.100000
4	2.070500
4	1.945500
4	1.995000
4	2.080000
4	2.115500
4	2.065500
4	2.180000
4	2.000500
4	2.065500
4	2.010000
4	2.095000
4	2.365000
4	1.915000
4	2.085500
4	2.050500
4	2.035000
4	1.895000
4	2.215500
4	1.810000
4	1.955000
4	1.895000
4	1.910500
4	2.000000
4	1.815000
4	2.085000
4	1.980500
4	2.070500
4	2.015000
4	1.965000
4	2.135000
4	2.050500
4	2.010000
4	2.035000
4	1.895000
4	2.026000
4	1.930000
4	2.015000
4	1.960000
4	2.080500
4	2.095500
4	2.030500
4	2.245000
4	2.350000
4	1.935500
4	1.920000
4	2.220000
4	1.925000
4	1.965000
4	1.985000
4	2.085500
4	1.855000
4	1.870000
4	1.890000
4	2.090500
4	2.080000
4	1.920000
4	2.055000
4	1.985500
4	1.900000
4	1.960000
4	1.885000
4	1.990000
4	2.080000
4	1.980000
4	1.895000
4	2.160000
4	1.865000
4	1.905000
4	2.000000
4	1.940500
4	2.040500
4	2.075000
4	1.895000
4	2.030000
4	1.890000
4	1.980000
4	1.939500
4	2.085000
4	1.935000
4	1.935000
4	1.890500
4	1.920500
4	2.240000
4	1.830000
4	1.905000
4	2.165000
4	2.070500
4	2.030000
4	1.855000
4	1.935000
4	2.090000
4	2.135000
4	1.890000
4	2.085500
4	1.960000
4	2.185000
4	1.915500
4	2.070500
4	1.945000
4	1.815500
4	1.935000
4	2.285000
4	2.210500
4	1.995000
4	1.970000
4	2.115000
4	1.910500
4	2.250000
4	1.795500
4	1.905000
4	1.940500
4	2.180000
4	1.930500
4	2.050000
4	1.951000
4	1.829500
4	2.040000
4	1.875000
4	2.040500
4	1.895500
4	1.960500
4	2.045000
4	2.055000
4	2.060500
4	2.015000
4	1.955000
4	1.990000
4	1.820000
4	1.995000
4	1.860000
4	1.970500
4	2.140000
4	1.870000
4	1.825500
4	2.000500
4	2.170000
4	1.875000
4	1.930000
4	1.820000
4	1.825000
4	2.045500
4	2.080000
4	2.005500
4	2.000500
4	2.195000
4	1.850000
4	2.435500
4	2.000000
4	1.975000
4	1.960000
4	2.000500
4	1.965000
4	1.920000
4	2.200000
4	2.035000
4	2.000000
4	2.130500
4	2.020000
4	1.970000
4	2.010500
4	1.990500
4	2.069500
4	2.050000
4	1.995000
4	2.070000
4	2.075500
4	2.020000
4	2.115500
4	2.015000
4	1.805500
4	1.925500
4	1.885000
4	1.995000
4	1.815000
4	2.155000
4	2.080500
4	2.145000
4	1.960500
4	1.966000
4	1.895000
4	2.215500
4	1.950500
4	2.020500
4	1.980500
4	1.990000
4	2.040500
4	1.896000
4	1.910500
4	2.005500
4	2.065500
4	1.945500
4	2.255500
4	1.890000
4	1.975000
4	2.055000
4	1.896000
4	1.925500
4	2.070000
4	1.925000
4	2.061000
4	1.990000
4	1.940500
4	1.995500
4	2.195000
4	1.905000
4	1.975000
4	2.035000
4	2.055000
4	1.885500
4	2.110000
4	2.109500
4	1.845000
4	2.220500
4	1.860500
4	1.955000
4	1.910000
4	1.990500
4	1.930000
4	2.295000
4	1.895000
4	1.960500
4	2.050000
4	2.220000
4	2.015000
4	1.985500
4	1.855000
4	1.895000
4	2.015000
4	1.839500
4	2.155000
4	2.044500
4	2.250500
4	2.040500
4	1.984500
4	1.980000
4	2.020500
4	1.989500
4	2.035500
4	1.970000
4	2.100000
4	2.069500
4	2.160500
4	2.075500
4	1.960000
4	2.130000
4	1.900500
4	1.845500
4	1.830000
4	1.905500
4	1.920500
4	1.960500
4	2.050500
4	1.960000
4	1.945000
4	1.860000
4	2.120500
4	1.890500
4	1.955000
4	2.145000
4	1.810000
4	1.930000
4	2.090000
4	1.885500
4	2.025000
4	1.939500
4	1.915000
4	2.050000
4	1.940500
4	2.145500
4	2.020000
4	1.895500
4	1.955500
4	2.095500
4	1.965500
4	2.035000
4	1.826000
4	1.915500
4	2.020500
4	1.955000
4	2.085500
4	1.870500
4	2.245500
4	1.995000
4	1.805000
4	2.115500
4	1.955500
4	1.965500
4	2.060000
4	2.044500
4	1.930000
4	2.085500
4	2.020000
4	2.035000
4	2.090500
4	2.050000
4	2.020500
4	2.190500
4	1.910500
4	2.015000
4	2.165000
4	2.185500
4	1.989500
4	2.115000
4	2.025000
4	2.060500
4	2.065000
