# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
190576,1000000001,1
188203,1000000001,1
220421,1000000001,1
185226,1000000001,1
186850,1000000001,1
186288,1000000001,1
221043,1000000001,1
185165,1000000001,1
185726,1000000001,1
185676,1000000001,1
186018,1000000001,1
184885,1000000001,1
221984,1000000001,1
187720,1000000001,1
186589,1000000001,1
185006,1000000001,1
186568,1000000001,1
186478,1000000001,1
185276,1000000001,1
185387,1000000001,1
228256,1000000001,1
190326,1000000001,1
187211,1000000001,1
