# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn312.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997916 
# Number of iterations (recorded+unrecorded): 1017428232 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
263985887.76	1462.92
264985892.33	1473.92
265985776.91	1452.92
266985722.49	2584.86
267985726.06	3237.83
268985621.64	2826.85
269985537.21	2213.88
270985461.79	2353.87
271985577.35	2564.86
272985441.93	2414.87
273985466.50	1513.92
274985331.08	1663.91
275985175.66	2595.86
276985191.24	1483.92
277985225.81	1483.92
278985060.39	1483.92
279985085.96	1473.92
280985121.53	2454.87
281985016.10	3856.79
282984850.69	3076.84
283984855.26	2305.88
284283967.28	1925.90
284984810.83	267025.73
285984735.41	2965.84
286984699.98	2665.86
287984615.56	2554.86
288984609.13	2445.87
289984453.71	4099.78
290984540.28	2465.87
291984434.86	2956.84
292984328.43	3318.82
293984405.00	2815.85
294984219.58	2575.86
295984204.16	2215.88
296984159.73	2314.88
297984034.31	2774.85
298984078.88	2215.88
299984004.45	1453.92
300983949.03	1603.91
301983913.60	2385.87
302983849.18	1503.92
303983752.76	1454.92
304983758.33	1463.92
305983703.90	1483.92
306983577.48	1463.92
307983584.05	1492.92
308983428.63	1482.92
309983443.20	1483.92
310983468.78	1513.92
311983383.35	1492.92
312983217.93	1423.92
313983343.50	3435.82
314983208.08	1483.92
315983062.66	2795.85
316983108.23	2975.84
317983071.80	3858.79
318983087.37	2415.87
319982912.95	3446.82
320982837.53	2966.84
321982752.11	2535.86
322982737.68	2234.88
323982722.25	2374.87
324982656.83	2604.86
325982682.40	2524.87
326982616.97	1442.92
327982451.55	2785.85
328982467.12	2625.86
329982301.71	2594.86
330982346.28	2174.88
331982221.85	3596.81
332982296.42	2906.84
333982171.00	3347.82
334982166.57	2333.88
335982060.15	2325.88
336981945.73	2395.87
337981961.30	2945.84
338981825.88	2213.88
339981960.44	2926.84
340981776.03	2564.86
341981780.60	2164.88
342981714.17	2747.85
343981720.74	3066.84
344981595.32	2345.87
345981529.90	1483.92
346981515.47	1483.92
347981400.05	1513.92
348981424.62	1513.92
349981350.20	1853.90
350981223.78	2275.88
351981239.35	2896.85
352981224.92	4127.78
353981019.50	3537.81
354981024.07	2445.87
355981039.65	2704.86
356981004.22	2114.89
357980838.80	1502.92
358980883.37	1814.90
359980748.95	2545.86
360980693.52	1533.92
361980729.09	1493.92
362980593.67	1483.92
363980649.24	1472.92
364980493.82	2645.86
365980517.39	2586.86
366980361.97	2466.87
367980398.54	2924.84
368980273.12	2784.85
369980298.69	3336.82
370980113.27	2413.87
371980106.85	1514.92
372980173.42	1613.91
373979988.00	2334.88
374980052.57	1493.92
375979907.15	2425.87
376979892.72	3316.82
377979807.29	1493.92
378979832.87	1472.92
379979657.45	2885.85
380979702.02	1482.92
381979686.59	3217.83
382979522.17	1853.90
383979566.74	1563.92
384342856.33	1603.91
384979412.32	323016.74
385979416.89	1653.91
386979291.47	1483.92
387979317.04	1412.92
388979251.62	1453.92
389979216.19	1473.92
390979050.77	1473.92
391979015.35	1504.92
392979070.91	1452.92
393979045.49	3057.84
394978861.07	3346.82
395978835.64	1453.92
396978781.22	1492.92
397978825.79	1482.92
398978680.37	1432.92
399978625.94	1461.92
400978640.51	1432.92
401978595.09	1412.92
402978580.66	1443.92
403978385.24	1472.92
404978399.81	1463.92
405978405.39	1473.92
406978279.96	1443.92
407978223.54	1474.92
408978249.11	2686.86
409978183.69	2887.85
410978008.27	2817.85
411978103.83	2435.87
412977959.41	2555.86
413977953.99	2665.86
414977899.56	2414.87
415977724.14	2093.89
416977707.72	2174.88
417977774.28	2905.84
418977678.86	3236.83
419977543.44	2575.86
420977518.01	2786.85
421977583.58	2624.86
422977348.17	2545.86
423977323.74	1472.92
424977318.31	1834.90
425977212.89	3036.84
426977228.46	2805.85
427977152.04	2676.86
