#size	rtt
1	3.100000
1	2.575000
1	2.504500
1	2.360000
1	2.415000
1	2.365500
1	2.379500
1	2.374500
1	2.409500
1	2.465000
1	2.420000
1	2.349500
1	2.380000
1	2.695000
1	2.590000
1	2.539500
1	2.320000
1	2.410000
1	2.459500
1	2.415000
1	2.385000
1	2.415000
1	2.349500
1	2.395000
1	2.420000
1	2.390500
1	2.374500
1	2.345500
1	2.469500
1	2.440000
1	2.559500
1	2.360000
1	2.440000
1	2.429500
1	2.435000
1	2.399500
1	2.379500
1	2.740000
1	2.459500
1	2.334500
1	2.365000
1	2.385000
1	2.440000
1	2.365000
1	2.420500
1	2.534500
1	2.500000
1	2.464500
1	2.475000
1	2.530500
1	2.439500
1	2.480000
1	2.495500
1	2.459500
1	2.485500
1	2.440000
1	2.495000
1	2.490000
1	2.460000
1	2.504500
1	2.460000
1	2.650500
1	2.550000
1	2.540000
1	2.470000
1	2.489500
1	2.464500
1	2.580000
1	2.549500
1	2.530000
1	2.550000
1	2.495000
1	2.495000
1	2.405000
1	2.545000
1	2.404500
1	2.420000
1	2.494500
1	2.460000
1	2.429500
1	2.435000
1	2.414500
1	2.320000
1	2.370500
1	2.345000
1	2.450500
1	2.440000
1	2.429500
1	2.479500
1	2.504500
1	2.440000
1	2.409500
1	2.374500
1	2.460000
1	2.530500
1	2.389500
1	2.390000
1	2.345000
1	2.384500
1	2.559500
1	2.345000
1	2.610000
1	2.375000
1	2.404500
1	2.440500
1	2.459500
1	2.409500
1	2.434500
1	2.389500
1	2.540500
1	2.539500
1	2.410000
1	2.315000
1	2.459500
1	2.525500
1	2.464500
1	2.349500
1	2.425000
1	2.429500
1	2.405000
1	2.460000
1	2.445000
1	2.380000
1	2.480000
1	2.365000
1	2.510000
1	2.605000
1	2.329500
1	2.409500
1	2.404500
1	2.370000
1	2.385500
1	2.370000
1	2.460000
1	2.470000
1	2.545000
1	2.450000
1	2.395000
1	2.459500
1	2.349500
1	2.375000
1	2.440000
