# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
134922687,1000000000,1
355753,1000000000,1
126604,1000000000,1
205088,1000000000,1
135825,1000000000,1
126014,1000000000,1
201478,1000000000,1
123555,1000000000,1
135584,1000000000,1
197597,1000000000,1
125275,1000000000,1
125873,1000000000,1
129875,1000000000,1
194548,1000000000,1
122675,1000000000,1
128984,1000000000,1
132454,1000000000,1
125695,1000000000,1
125045,1000000000,1
198807,1000000000,1
133005,1000000000,1
127755,1000000000,1
123435,1000000000,1
125623,1000000000,1
131644,1000000000,1
126873,1000000000,1
123714,1000000000,1
201607,1000000000,1
132035,1000000000,1
125564,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
119926558,800000000,1
141835,800000000,1
199997,800000000,1
123893,800000000,1
130984,800000000,1
118873,800000000,1
195146,800000000,1
121593,800000000,1
130904,800000000,1
121194,800000000,1
120485,800000000,1
120384,800000000,1
196477,800000000,1
121765,800000000,1
124575,800000000,1
124234,800000000,1
130083,800000000,1
120725,800000000,1
191787,800000000,1
117115,800000000,1
130105,800000000,1
119305,800000000,1
120624,800000000,1
119155,800000000,1
129275,800000000,1
119754,800000000,1
122923,800000000,1
188617,800000000,1
136716,800000000,1
119824,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
130377964,600000000,1
144845,600000000,1
198837,600000000,1
115663,600000000,1
129124,600000000,1
122803,600000000,1
195376,600000000,1
118083,600000000,1
127545,600000000,1
122953,600000000,1
122664,600000000,1
181036,600000000,1
130655,600000000,1
122894,600000000,1
119834,600000000,1
122385,600000000,1
128474,600000000,1
121764,600000000,1
192636,600000000,1
121365,600000000,1
130194,600000000,1
122215,600000000,1
120904,600000000,1
123895,600000000,1
129695,600000000,1
120584,600000000,1
122675,600000000,1
194857,600000000,1
135504,600000000,1
124375,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
138294154,400000000,1
144054,400000000,1
199827,400000000,1
125954,400000000,1
127823,400000000,1
124385,400000000,1
121404,400000000,1
120553,400000000,1
200598,400000000,1
122904,400000000,1
119634,400000000,1
119824,400000000,1
128355,400000000,1
119493,400000000,1
120585,400000000,1
172755,400000000,1
127234,400000000,1
120783,400000000,1
117413,400000000,1
120014,400000000,1
125715,400000000,1
122564,400000000,1
120325,400000000,1
120864,400000000,1
128375,400000000,1
120025,400000000,1
200287,400000000,1
122425,400000000,1
125374,400000000,1
120744,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
136041291,200000000,1
145725,200000000,1
119474,200000000,1
187646,200000000,1
129504,200000000,1
119884,200000000,1
120354,200000000,1
118174,200000000,1
125715,200000000,1
119933,200000000,1
120434,200000000,1
123035,200000000,1
128815,200000000,1
179756,200000000,1
118734,200000000,1
122703,200000000,1
131404,200000000,1
120905,200000000,1
119804,200000000,1
120404,200000000,1
127105,200000000,1
119564,200000000,1
119463,200000000,1
118503,200000000,1
128325,200000000,1
119415,200000000,1
181417,200000000,1
118664,200000000,1
127564,200000000,1
117824,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
137991585,0,1
114853,0,1
100024,0,1
99604,0,1
99522,0,1
99263,0,1
98734,0,1
99663,0,1
100403,0,1
99633,0,1
98373,0,1
99814,0,1
99193,0,1
99362,0,1
99494,0,1
98974,0,1
99494,0,1
99293,0,1
100123,0,1
99884,0,1
100494,0,1
99184,0,1
99893,0,1
100053,0,1
99153,0,1
99443,0,1
99134,0,1
99643,0,1
99883,0,1
98843,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
138110141,200000001,1
143376,200000001,1
119404,200000001,1
198546,200000001,1
125524,200000001,1
119264,200000001,1
119585,200000001,1
120544,200000001,1
127803,200000001,1
125904,200000001,1
121925,200000001,1
121164,200000001,1
130474,200000001,1
174217,200000001,1
121934,200000001,1
123824,200000001,1
128494,200000001,1
122033,200000001,1
117783,200000001,1
123175,200000001,1
126005,200000001,1
119213,200000001,1
119075,200000001,1
120494,200000001,1
128724,200000001,1
119354,200000001,1
141544,200000001,1
159216,200000001,1
127775,200000001,1
121083,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
133489014,400000001,1
144485,400000001,1
198628,400000001,1
119693,400000001,1
129325,400000001,1
122874,400000001,1
118435,400000001,1
121024,400000001,1
195426,400000001,1
122914,400000001,1
119584,400000001,1
121195,400000001,1
126325,400000001,1
124234,400000001,1
121524,400000001,1
120624,400000001,1
196727,400000001,1
124935,400000001,1
118593,400000001,1
122844,400000001,1
127314,400000001,1
115494,400000001,1
122075,400000001,1
124235,400000001,1
129214,400000001,1
121905,400000001,1
194968,400000001,1
118764,400000001,1
135574,400000001,1
120694,400000001,1
# Hoverboard test (1048576 1 600000001)
# time(ns),sleep_time(ns),repetitions
140097396,600000001,1
351922,600000001,1
118695,600000001,1
123685,600000001,1
124875,600000001,1
125424,600000001,1
189406,600000001,1
123113,600000001,1
129933,600000001,1
123274,600000001,1
121745,600000001,1
192197,600000001,1
127485,600000001,1
122474,600000001,1
120694,600000001,1
122734,600000001,1
127814,600000001,1
122975,600000001,1
192397,600000001,1
122485,600000001,1
130014,600000001,1
121115,600000001,1
120495,600000001,1
122965,600000001,1
126635,600000001,1
122224,600000001,1
117343,600000001,1
190747,600000001,1
124564,600000001,1
120494,600000001,1
# Hoverboard test (1048576 1 800000001)
# time(ns),sleep_time(ns),repetitions
129489669,800000001,1
343203,800000001,1
121684,800000001,1
121754,800000001,1
124714,800000001,1
192387,800000001,1
121344,800000001,1
123074,800000001,1
127634,800000001,1
122304,800000001,1
117613,800000001,1
189737,800000001,1
130154,800000001,1
121144,800000001,1
116794,800000001,1
120863,800000001,1
125234,800000001,1
187436,800000001,1
118023,800000001,1
125714,800000001,1
126564,800000001,1
124304,800000001,1
116924,800000001,1
123934,800000001,1
124794,800000001,1
125525,800000001,1
198257,800000001,1
124685,800000001,1
129174,800000001,1
128224,800000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
138956210,1000000001,1
362253,1000000001,1
125823,1000000001,1
200367,1000000001,1
130865,1000000001,1
123685,1000000001,1
197747,1000000001,1
127834,1000000001,1
131245,1000000001,1
196906,1000000001,1
123963,1000000001,1
124084,1000000001,1
129124,1000000001,1
193858,1000000001,1
124645,1000000001,1
125384,1000000001,1
129223,1000000001,1
121084,1000000001,1
121034,1000000001,1
197827,1000000001,1
133694,1000000001,1
122923,1000000001,1
121554,1000000001,1
120115,1000000001,1
130044,1000000001,1
121754,1000000001,1
121294,1000000001,1
200937,1000000001,1
