#size	rtt
8	3.089500
8	2.864500
8	2.750000
8	4.340500
8	3.340500
8	4.785000
8	3.325500
8	3.045500
8	2.851000
8	2.990500
8	3.109500
8	3.060000
8	2.780000
8	3.060000
8	3.315500
8	3.149500
8	3.219500
8	2.854500
8	2.990000
8	2.935500
8	2.865000
8	3.010500
8	2.865000
8	2.860000
8	2.890500
8	3.065500
8	2.879500
8	2.864500
8	3.050500
8	2.825500
8	2.660000
8	2.885000
8	2.880000
8	3.069500
8	2.974500
8	2.830500
8	3.275000
8	2.859500
8	2.844500
8	2.969500
8	3.010000
8	2.755000
8	3.115500
8	3.005000
8	2.944500
8	2.690000
8	2.840000
8	2.860500
8	2.830000
8	3.030500
8	2.920000
8	3.075000
8	2.865500
8	2.865500
8	2.850000
8	2.964500
8	3.845000
8	3.570500
8	2.855000
8	3.394500
8	2.750500
8	2.950500
8	2.825500
8	2.765000
8	2.885000
8	2.980000
8	2.905000
8	2.675000
8	2.640000
8	2.815000
8	2.965000
8	2.830500
8	2.890000
8	2.950000
8	2.900500
8	2.914500
8	2.705000
8	3.060000
8	3.089500
8	3.480000
8	2.910000
8	3.050000
8	2.980000
8	2.740000
8	3.010000
8	2.885000
8	3.075500
8	3.015000
8	3.020000
8	2.900000
8	2.795000
8	2.925000
8	2.740000
8	3.074500
8	2.805500
8	2.805000
8	2.965500
8	3.145500
8	2.815000
8	3.439500
8	2.939500
8	2.730500
8	2.915500
8	2.915000
8	2.859500
8	2.830000
8	2.810000
8	3.010500
8	2.895500
8	3.150500
8	2.945000
8	2.870000
8	2.715000
8	3.045000
8	2.870000
8	2.930000
8	2.844500
8	2.839500
8	3.780500
8	3.035500
8	2.835000
8	2.985000
8	3.515000
8	2.959500
8	3.010000
8	2.760000
8	2.775000
8	2.990000
8	3.139500
8	2.935000
8	2.945000
8	2.939500
8	2.805000
8	2.864500
8	2.980000
8	2.795500
8	2.904500
8	2.990000
8	9.065500
8	2.870000
8	2.970000
8	3.115500
8	2.995000
8	2.980000
8	2.955000
8	2.690000
8	2.910000
8	2.750500
8	2.995000
8	2.774500
8	2.880000
8	2.770000
8	2.840000
8	3.040000
8	2.775500
8	3.035000
8	2.990000
8	2.854500
8	2.875500
8	2.861000
8	2.890000
8	3.010000
8	2.936000
8	2.834500
8	2.950000
8	3.085000
8	2.835000
8	3.024500
8	2.790000
8	2.724500
8	2.795000
8	2.690000
8	2.860000
8	2.734500
8	3.781000
8	2.965500
8	3.195000
8	3.119500
8	2.940000
8	3.160000
8	3.105500
8	2.945000
8	2.944500
8	2.720000
8	2.925000
8	3.000500
8	2.744500
8	2.945000
8	2.675000
8	2.649500
8	3.004500
8	2.710000
8	3.279500
8	3.025000
8	2.835000
8	2.770000
8	2.740500
8	3.000000
8	2.970000
8	3.065500
8	2.790000
8	3.185000
8	2.935000
8	2.950000
8	2.839500
8	2.775000
8	2.969500
8	2.890000
8	4.000000
8	2.984500
8	3.030000
8	3.079500
8	2.875000
8	2.700000
8	2.920500
8	3.045000
8	2.999500
8	3.349500
8	2.974500
8	2.835000
8	2.870000
8	2.935500
8	3.010000
8	2.839500
8	2.965000
8	2.939500
8	2.660000
8	2.990500
8	2.960500
8	2.755500
8	2.690500
8	2.949500
8	2.780500
8	2.925000
8	2.994500
8	2.950000
8	2.889500
8	3.064500
8	3.024500
8	2.920000
8	3.085500
8	2.745000
8	3.049500
8	2.869500
8	3.009500
8	2.924500
8	2.780000
8	3.065000
8	2.855000
8	2.895500
8	2.680500
8	2.960000
8	2.910000
8	2.799500
8	2.954500
8	3.070000
8	3.320000
8	3.000000
8	2.980000
8	2.790500
8	2.895000
8	2.880000
8	2.830000
8	2.790500
8	3.060500
8	2.811000
8	2.804500
8	3.020000
8	3.200500
8	2.890000
8	2.934500
8	2.975000
8	2.820000
8	2.900000
8	2.915500
8	2.810500
8	2.940500
8	3.050000
8	3.030000
8	2.970000
8	3.365500
8	3.090000
8	2.920500
8	2.830000
8	3.060500
8	2.901000
8	2.895000
8	2.799500
8	3.000000
8	2.840500
8	2.665500
8	2.920000
8	2.835000
8	2.700000
8	2.949500
8	3.115000
8	3.175000
8	2.780000
8	2.739500
8	2.765000
8	2.859500
8	2.744500
8	2.984500
8	2.985500
8	3.080000
8	2.870500
8	2.725500
8	2.985000
8	2.970000
8	2.865000
8	2.940000
8	3.020000
8	2.930000
8	2.859500
8	2.815000
8	2.945000
8	2.921000
8	3.035500
8	2.910000
8	2.874500
8	2.939500
8	2.864500
8	2.665000
8	2.950000
8	2.775000
8	2.820500
8	3.005000
8	3.021000
8	2.995500
8	2.835000
8	2.890000
8	3.030000
8	2.710500
8	2.804500
8	2.835000
8	2.910500
8	3.024500
8	2.815500
8	3.145000
8	2.849500
8	2.990000
8	2.824500
8	2.974500
8	2.940000
8	2.805000
8	2.790000
8	2.675500
8	2.839500
8	2.915000
8	2.840000
8	2.805500
8	2.950500
8	3.120000
8	2.850000
8	3.025000
8	3.085000
8	2.915000
8	3.200000
8	2.950000
8	2.950000
8	2.875000
8	2.715000
8	2.890500
8	2.755000
8	2.870000
8	2.730000
8	2.939500
8	2.900500
8	2.870000
8	2.835000
8	2.760000
8	2.925500
8	2.955500
8	2.920000
8	3.130000
8	2.849500
8	2.760000
8	2.765000
8	2.749500
8	2.825000
8	3.054500
8	2.879500
8	3.040500
8	3.044500
8	2.705500
8	2.975000
8	8.216000
8	2.895500
8	3.070000
8	2.990500
8	3.101000
8	3.115000
8	2.880000
8	2.935000
8	2.795000
8	2.984500
8	2.910000
8	2.790000
8	2.964500
8	2.675000
8	2.820000
8	2.940000
8	2.850000
8	2.854500
8	3.060000
8	3.115500
8	2.955000
8	2.920000
8	2.779500
8	2.585000
8	2.935000
8	3.005000
8	2.665000
8	2.879500
8	2.819500
8	3.009500
8	2.920000
8	2.835000
8	2.849500
8	2.744500
8	2.760000
8	2.960000
8	2.760000
8	3.085000
8	2.970000
8	2.825500
8	2.914500
8	2.969500
8	2.971000
8	2.995500
8	2.939500
8	2.910500
8	2.779500
8	2.874500
8	2.885000
8	2.900500
8	3.060000
8	2.920000
8	2.850000
8	3.065000
8	2.845500
8	2.810500
8	2.825000
8	3.050500
8	3.055000
8	3.020000
8	3.009500
8	2.880000
8	3.114500
8	2.900000
8	2.980500
8	3.020500
8	2.970000
8	2.889500
8	2.854500
8	3.110000
8	3.100000
8	2.645000
8	3.080000
8	3.040000
8	3.045000
8	3.015000
8	2.939500
8	2.890000
8	2.994500
8	2.840000
8	2.885000
8	2.940000
8	2.675000
8	2.960000
8	2.805000
8	2.884500
8	2.825000
8	3.460500
8	2.820500
8	2.879500
8	2.820000
8	2.904500
8	2.730500
8	2.744500
8	2.905000
8	2.899500
8	2.925000
8	2.665500
8	2.749500
8	2.880500
8	3.100000
8	2.939500
8	2.770000
8	2.850000
8	2.900000
8	2.709500
8	2.815000
8	2.920000
8	2.970000
8	2.850500
8	2.855500
8	2.995000
8	3.010000
8	3.149500
8	2.865500
8	2.795000
8	2.904500
8	2.795000
8	2.650500
8	2.834500
8	2.895000
8	2.869500
8	2.755000
8	2.935000
8	3.034500
8	3.025000
8	2.784500
8	3.025500
8	3.019500
8	2.725000
8	3.094500
8	3.115000
8	2.800000
8	2.895000
8	2.790500
8	27.515500
8	2.940500
8	3.045000
8	2.925000
8	3.030000
8	2.815000
8	3.140000
8	2.920000
8	2.864500
8	2.620000
8	2.995500
8	2.955000
8	2.995500
8	2.881000
8	3.660500
8	3.015000
8	2.660000
8	2.740000
8	2.735000
8	2.830000
8	2.790000
8	2.780000
8	2.919500
8	2.799500
8	3.044500
8	2.939500
8	3.004500
8	2.840000
8	2.815000
8	3.049500
8	2.945000
8	2.989500
8	2.935000
8	2.900000
8	3.010000
8	2.970000
8	2.710000
8	2.900000
8	2.920000
8	3.070000
8	2.885500
8	2.889500
8	3.020000
8	2.975000
8	2.809500
8	2.945000
8	2.900000
8	2.934500
8	2.790000
8	2.985000
8	2.835500
8	2.765500
8	2.955500
8	2.850000
8	2.975500
8	3.305000
8	2.945000
8	2.710500
8	3.089500
8	2.940000
8	2.975000
8	3.000500
8	2.975000
8	2.855000
8	2.745000
8	2.880000
8	3.065000
8	2.975000
8	2.805000
8	2.765000
8	3.164500
8	3.150000
8	2.955000
8	2.845500
8	3.039500
8	3.125000
8	2.819500
8	3.010500
8	2.975500
8	2.835000
8	2.910000
8	2.989500
8	3.030000
8	2.860000
8	2.990000
8	2.860000
8	2.849500
8	2.984500
8	2.945000
8	3.055000
8	2.955000
8	3.139500
8	3.120000
8	3.030000
8	2.975000
8	3.045000
8	2.725500
8	2.785000
8	2.875000
8	2.809500
8	3.035000
8	2.964500
8	2.840000
8	2.924500
8	3.059500
8	2.795500
8	2.880500
8	2.800500
8	2.785000
8	3.060000
8	2.745000
8	3.330000
8	2.980000
8	2.930500
8	2.935000
8	2.960000
8	2.870000
8	2.770500
8	2.880000
8	2.990000
8	2.974500
8	2.904500
8	2.975500
8	2.970000
8	2.875000
8	2.835000
8	2.859500
8	2.826000
8	2.990500
8	3.105000
8	2.929500
8	2.845000
8	2.804500
8	2.940000
8	3.060000
8	2.770000
8	2.969500
8	2.635000
8	3.000000
8	2.960500
8	2.875500
8	2.970000
8	2.854500
8	2.995000
8	2.904500
8	2.830000
8	3.360000
8	2.950000
8	2.865000
8	2.690500
8	2.949500
8	2.725000
8	2.740000
8	2.875000
8	2.885000
8	2.725500
8	2.805000
8	2.834500
8	2.870500
8	2.960500
8	3.135500
8	3.020500
8	3.015000
8	3.139500
8	2.990000
8	2.894500
8	2.854500
8	2.960000
8	2.905000
8	3.270000
8	3.059500
8	2.790500
8	2.745500
8	3.126000
8	2.839500
8	3.024500
8	2.944500
8	2.890000
8	3.010000
8	2.895000
8	2.905000
8	2.820500
8	2.795500
8	3.025500
8	2.910000
8	3.000000
8	3.029500
8	2.904500
8	2.899500
8	2.839500
8	3.215000
8	3.085000
8	2.880000
8	2.900500
8	3.975500
8	2.964500
8	2.739500
8	2.774500
8	2.975000
8	2.809500
8	2.884500
8	2.784500
8	3.070500
8	3.180000
8	3.040000
8	3.005000
8	2.970500
8	2.821000
8	2.735000
8	3.075500
8	2.975000
8	2.980000
8	3.030000
8	2.905000
8	2.980000
8	3.005000
8	2.765000
8	2.890500
8	2.914500
8	2.904500
8	2.765000
8	2.910000
8	3.019500
8	2.909500
8	3.025000
8	2.964500
8	2.850000
8	2.960500
8	2.951000
8	3.110500
8	3.015000
8	2.965000
8	2.985000
8	2.945000
8	2.790000
8	2.909500
8	2.960000
8	2.880000
8	2.890000
8	3.035000
8	2.925500
8	3.140500
8	2.974500
8	2.890000
8	2.805500
8	2.905000
8	2.805000
8	2.974500
8	2.734500
8	3.214500
8	2.800500
8	3.050500
8	2.970000
8	2.970000
8	2.990500
8	2.865000
8	2.770500
8	2.890000
8	2.745000
8	2.955000
8	2.850500
8	2.965500
8	3.079500
8	3.115000
8	2.934500
8	2.950000
8	2.975000
8	2.984500
8	3.040500
8	4.710500
8	3.209500
8	3.055000
8	2.914500
8	2.865500
8	2.685500
8	2.715000
8	2.984500
8	2.925500
8	2.774500
8	2.794500
8	2.840500
8	2.795000
8	3.044500
8	2.860500
8	2.850000
8	2.855500
8	2.760000
8	2.790000
8	2.925000
8	2.785000
8	2.905000
8	2.869500
8	2.889500
8	2.945500
8	3.045000
8	2.776000
8	2.759500
8	2.845500
8	2.880500
8	2.990000
8	2.949500
8	2.840000
8	2.915000
8	3.114500
8	2.880000
8	2.921000
8	2.786000
8	3.025000
8	2.770000
8	2.754500
8	2.700500
8	2.560000
8	7.019500
8	44.070500
8	3.210000
8	3.070000
8	2.905500
8	3.050000
8	3.024500
8	3.094500
8	2.900000
8	2.895000
8	2.875500
8	2.830500
8	2.945000
8	2.914500
8	3.220000
8	2.970000
8	3.024500
8	4.125000
8	2.730500
8	2.715500
8	2.770000
8	2.820000
8	2.785000
8	2.829500
8	2.835000
8	2.925500
8	3.045000
8	2.895000
8	3.045500
8	2.755500
8	3.135500
8	2.964500
8	2.895000
8	3.044500
8	2.830000
8	2.905000
8	2.816000
8	2.941000
8	2.975000
8	2.935000
8	2.810500
8	2.979500
8	3.135000
8	2.994500
8	2.844500
8	2.915500
8	2.950000
8	2.900500
8	2.995000
8	2.780500
8	2.930000
8	3.105000
8	2.859500
8	3.030500
8	2.940000
8	2.900000
8	2.835000
8	3.190500
8	2.930000
8	2.825500
8	3.075500
8	3.125500
8	2.730000
8	2.885000
8	3.040500
8	2.995000
8	2.915000
8	2.649500
8	2.815000
8	2.824500
8	2.976000
8	2.911000
8	2.830500
8	2.924500
8	3.010000
8	2.890000
8	2.925000
8	2.860000
8	2.650000
8	2.864500
8	2.755500
8	2.920500
8	2.785000
8	2.930000
8	2.985000
8	2.890500
8	2.880000
8	2.945500
8	2.760500
8	2.825000
8	2.940500
8	2.965500
8	2.611000
8	3.200000
8	2.854500
8	3.060500
8	2.919500
8	2.950500
8	2.780000
8	2.710000
8	3.059500
8	2.769500
8	2.865500
8	3.220000
8	2.846000
8	2.734500
8	2.910500
8	2.905000
8	2.845000
8	2.909500
8	3.165000
8	2.995500
8	3.100000
8	2.825000
8	2.995500
8	2.751000
8	2.894500
8	2.785000
8	2.774500
8	2.800000
8	3.005000
8	3.000000
8	2.935500
8	2.955000
8	2.904500
8	2.835500
8	2.936000
8	2.975000
8	2.925000
8	3.030500
8	2.790000
8	2.854500
8	2.970500
8	2.815000
8	2.964500
8	19.946000
8	2.910500
8	2.810000
8	2.929500
8	2.845500
8	2.950000
8	2.815500
8	2.975500
8	3.290000
8	2.920000
8	2.715500
8	2.854500
8	2.815500
8	3.015500
8	3.004500
8	2.899500
8	3.080000
8	2.770000
8	2.875000
8	2.779500
8	2.855000
8	2.770000
8	2.860000
8	2.841000
8	2.795000
8	3.039500
8	2.905000
8	2.859500
8	3.110000
8	2.975000
8	3.050000
8	2.840000
16	2.970000
16	2.875500
16	3.200500
16	2.855000
16	2.850000
16	2.905000
16	2.845500
16	3.055000
16	2.790000
16	2.940000
16	2.975500
16	2.835000
16	2.916000
16	2.785500
16	2.889500
16	2.950000
16	2.919500
16	3.245000
16	2.700000
16	2.950000
16	3.000500
16	2.875000
16	2.790500
16	3.025500
16	2.950000
16	3.035500
16	3.000000
16	2.805000
16	3.049500
16	3.055000
16	2.890000
16	3.020000
16	2.895500
16	2.865500
16	2.779500
16	2.835000
16	2.645000
16	3.010000
16	2.780500
16	2.850500
16	2.759500
16	2.875500
16	3.040500
16	3.010000
16	3.055000
16	2.940000
16	2.895000
16	3.080000
16	2.734500
16	2.925500
16	2.680000
16	2.900500
16	2.830000
16	2.990000
16	2.870500
16	2.965000
16	2.820000
16	2.745500
16	2.905500
16	3.060000
16	3.390000
16	2.869500
16	3.010000
16	2.910000
16	2.575000
16	3.020000
16	2.926000
16	3.021000
16	2.905500
16	2.745000
16	2.890000
16	2.844500
16	3.010000
16	2.825000
16	2.900000
16	3.020500
16	2.970500
16	3.071000
16	2.760500
16	2.620000
16	3.030000
16	2.955500
16	2.979500
16	2.900000
16	2.925500
16	2.820000
16	2.980500
16	2.815500
16	3.155000
16	2.570000
16	2.905000
16	2.935000
16	3.205000
