#size	rtt
4	2.849500
4	2.795500
4	2.580000
4	3.045500
4	2.710500
4	2.714500
4	2.680500
4	4.310500
4	5.300500
4	3.090500
4	2.640000
4	3.740500
4	2.715000
4	2.961000
4	2.856000
4	2.650500
4	2.615000
4	2.645000
4	2.585500
4	2.800500
4	2.605500
4	2.745500
4	2.655000
4	2.916000
4	3.330000
4	2.615500
4	2.810500
4	3.190500
4	2.625000
4	2.910500
4	2.690500
4	2.615500
4	2.745500
4	2.910500
4	2.660000
4	2.666000
4	2.695500
4	2.880500
4	2.920500
4	2.690000
4	2.575500
4	2.614500
4	2.685000
4	2.670500
4	2.710500
4	2.580000
4	2.860500
4	2.755500
4	2.695500
4	2.574500
4	2.631000
4	2.731000
4	2.631000
4	2.675000
4	2.655000
4	2.715000
4	2.830000
4	2.560500
4	2.695000
4	2.820500
4	2.755500
4	2.845500
4	2.650500
4	2.615500
4	2.670500
4	2.650000
4	3.609500
4	2.750000
4	2.570000
4	2.814500
4	2.610500
4	2.835000
4	2.685000
4	2.630000
4	2.890500
4	3.030000
4	2.715500
4	2.795500
4	2.680000
4	2.700500
4	2.625500
4	2.830500
4	2.685000
4	2.740000
4	2.575000
4	2.580500
4	2.575500
4	2.635000
4	2.600000
4	2.950500
4	2.715500
4	2.600000
4	2.780500
4	2.675500
4	2.945000
4	2.740500
4	2.805000
4	2.620500
4	2.755500
4	2.780000
4	2.730500
4	2.860000
4	2.640500
4	2.685500
4	2.550000
4	3.155500
4	2.965500
4	2.725500
4	2.680500
4	2.605000
4	3.120000
4	2.800500
4	2.770500
4	2.640000
4	2.870500
4	2.685500
4	2.720000
4	2.650000
4	2.790500
4	2.650500
4	2.550000
4	3.485500
4	2.645000
4	2.750500
4	3.170500
4	2.675500
4	2.730000
4	2.590500
4	2.645500
4	2.690500
4	2.776000
4	2.685000
4	2.650000
4	2.635000
4	2.650500
4	2.625000
4	2.575500
4	2.645000
4	2.670000
4	2.650500
4	2.756000
4	6.740500
4	2.615500
4	2.996000
4	2.665500
4	2.630500
4	2.790500
4	2.635500
4	2.550000
4	2.735000
4	2.605500
4	2.540500
4	2.665000
4	2.620500
4	3.216000
4	2.945500
4	2.895500
4	2.695500
4	2.620000
4	2.779500
4	2.815000
4	2.740500
4	2.746000
4	2.730500
4	2.925000
4	2.745000
4	2.870500
4	2.875000
4	2.645000
4	2.945000
4	2.595500
4	2.860500
4	2.650500
4	2.760000
4	2.675500
4	2.535500
4	2.750500
4	2.680500
4	2.730000
4	2.660000
4	2.690000
4	2.660000
4	2.875000
4	2.525500
4	2.726000
4	2.650500
4	2.790500
4	2.685000
4	2.730000
4	2.755000
4	2.670500
4	2.575500
4	2.840000
4	2.630500
4	2.685500
4	2.581000
4	2.626000
4	2.665500
4	2.690500
4	2.700500
4	3.025000
4	3.134500
4	3.170000
4	2.885000
4	2.880000
4	2.845000
4	2.660000
4	2.710000
4	2.851000
4	2.625000
4	2.730000
4	2.925500
4	2.640000
4	2.975000
4	2.675000
4	2.770500
4	2.670500
4	2.730000
4	2.656000
4	2.750500
4	2.680000
4	2.770500
4	2.825500
4	2.715500
4	2.625500
4	2.619500
4	2.640500
4	2.745500
4	2.855000
4	2.891000
4	2.649500
4	2.615500
4	2.870000
4	2.855000
4	2.640500
4	2.775500
4	2.685000
4	2.605500
4	2.595500
4	2.800000
4	2.560500
4	2.996000
4	2.785500
4	2.754500
4	2.655000
4	2.625000
4	2.775000
4	2.610000
4	2.794500
4	2.605500
4	2.690000
4	2.700500
4	2.945500
4	2.665000
4	2.630500
4	2.619500
4	2.750000
4	2.880000
4	2.645000
4	2.960500
4	2.629500
4	2.920500
4	2.709500
4	2.551000
4	2.986000
4	2.665000
4	2.665500
4	2.700000
4	2.630500
4	2.569500
4	2.629500
4	2.934500
4	2.820500
4	2.906000
4	2.691000
4	2.775500
4	2.775500
4	2.735500
4	2.900000
4	2.810500
4	2.850000
4	2.660500
4	2.745000
4	2.575500
4	2.710500
4	2.750500
4	2.625500
4	2.915500
4	2.640000
4	2.650500
4	2.740500
4	2.840000
4	2.545500
4	2.685500
4	2.670000
4	2.636000
4	2.650500
4	2.780000
4	2.650000
4	2.775500
4	2.690000
4	2.755000
4	2.645500
4	2.665000
4	2.855500
4	2.651000
4	2.726000
4	2.940500
4	2.764500
4	2.675500
4	2.659500
4	2.690000
4	2.675500
4	2.580000
4	2.630000
4	2.705000
4	2.715500
4	2.826000
4	2.650500
4	2.640000
4	2.925000
4	2.775500
4	2.625000
4	2.819500
4	2.630500
4	2.649500
4	2.865500
4	2.680500
4	2.590000
4	2.609500
4	2.850000
4	2.784500
4	2.600000
4	2.740500
4	2.645000
4	2.670000
4	2.880500
4	2.960500
4	2.675000
4	2.605000
4	2.530500
4	2.605000
4	2.635000
4	2.485500
4	2.750500
4	2.630000
4	2.655500
4	2.814500
4	2.670500
4	2.891000
4	2.661000
4	2.805500
4	2.746000
4	2.750000
4	2.640000
4	2.945500
4	2.630000
4	2.670500
4	2.675000
4	2.709500
4	2.780000
4	2.660500
4	3.010500
4	2.725000
4	2.544500
4	3.015000
4	2.650500
4	2.840500
4	2.600500
4	2.580000
4	2.665500
4	2.575500
4	2.590500
4	2.616000
4	2.785000
4	2.525000
4	2.830000
4	2.545000
4	2.645500
4	2.755000
4	2.675500
4	2.789500
4	2.635000
4	2.870000
4	2.656000
4	2.695500
4	2.664500
4	2.920500
4	2.640000
4	2.800000
4	2.565500
4	2.659500
4	2.680500
4	2.715000
4	2.599500
4	2.860500
4	2.861000
4	2.660500
4	2.585000
4	2.635000
4	2.809500
4	2.545000
4	2.815000
4	2.725000
4	2.640000
4	2.800000
4	2.675500
4	2.815000
4	2.645500
4	2.635000
4	2.715500
4	2.830000
4	2.670500
4	2.680500
4	2.625000
4	2.704500
4	2.740000
4	2.605500
4	3.016000
4	2.680500
4	2.800500
4	2.620000
4	2.830500
4	2.914500
4	2.620500
4	2.975000
4	2.930500
4	2.630500
4	2.765000
4	2.775000
4	2.665000
4	2.650000
4	2.615500
4	2.694500
4	2.685000
4	2.745000
4	2.740500
4	2.605500
4	2.635500
4	2.695500
4	2.881000
4	2.646000
4	2.715000
4	2.745000
4	2.715000
4	2.705000
4	2.680500
4	2.615500
4	2.700500
4	2.895000
4	2.615500
4	2.730500
4	2.610000
4	2.611000
4	2.550000
4	2.605000
4	2.870000
4	2.700500
4	2.660500
4	2.640000
4	2.789500
4	2.620000
4	2.825500
4	2.645500
4	2.955000
4	2.605000
4	2.680000
4	2.650500
4	2.915000
4	2.675000
4	2.620000
4	2.825500
4	2.695500
4	2.870500
4	2.590500
4	2.944500
4	2.585500
4	2.735000
4	2.630500
4	2.685500
4	2.655500
4	2.630000
4	2.635000
4	2.696000
4	2.775500
4	2.640000
4	2.785000
4	2.660500
4	2.724500
4	2.710500
4	2.685000
4	2.735500
4	2.635000
4	2.915000
4	3.020000
4	2.621000
4	2.880000
4	2.640000
4	2.700500
4	2.819500
4	2.675000
4	2.625000
4	2.675000
4	2.585000
4	2.595000
4	2.680000
4	2.650000
4	2.965000
4	2.811000
4	2.705500
4	2.675500
4	2.605500
4	2.815500
4	2.540000
4	2.660500
4	2.725500
4	2.595500
4	2.775000
4	2.690500
4	2.665500
4	2.655500
4	2.745000
4	2.685000
4	2.710000
4	2.809500
4	2.645500
4	2.690000
4	2.630500
4	2.780500
4	2.680500
4	2.935500
4	2.840000
4	2.655000
4	2.695500
4	2.899500
4	2.640000
4	2.925000
4	2.800000
4	2.715500
4	2.700500
4	2.645500
4	2.655500
4	2.635000
4	2.640500
4	2.799500
4	2.775000
4	2.900000
4	2.640000
4	2.690500
4	2.609500
4	2.895000
4	2.721000
4	2.645500
4	2.660500
4	2.705000
4	2.640000
4	2.649500
4	3.100000
4	2.770500
4	2.935500
4	2.600500
4	2.715000
4	2.685000
4	2.910500
4	2.835000
4	2.580000
4	2.660500
4	2.704500
4	2.955000
4	2.660500
4	2.584500
4	2.960000
4	2.914500
4	2.665500
4	2.700500
4	2.665000
4	2.605500
4	2.854500
4	2.620500
4	2.695500
4	2.665500
4	2.730000
4	2.825000
4	2.645000
4	2.475500
4	2.705000
4	2.690500
4	2.780500
4	2.635000
4	2.615500
4	2.930000
4	2.800000
4	2.680000
4	2.704500
4	2.610000
4	2.695000
4	2.811000
4	2.639500
4	2.680000
4	2.690000
4	2.745000
4	2.695000
4	2.849500
4	2.760500
4	2.605500
4	2.615000
4	2.680000
4	2.645500
4	2.580500
4	2.665500
4	2.659500
4	2.695000
4	2.819500
4	2.715000
4	2.855000
4	2.650000
4	2.790500
4	2.665500
4	3.010500
4	2.895000
4	2.715000
4	2.795000
4	2.575500
4	2.625000
4	2.785500
4	2.670000
4	2.590500
4	2.595000
4	2.645000
4	2.715500
4	2.701000
4	2.535500
4	2.665000
4	2.595500
4	2.610000
4	2.925000
4	2.645500
4	2.659500
4	2.595500
4	2.755000
4	2.600000
4	2.666000
4	2.790000
4	2.715500
4	2.574500
