# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn630.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997453 
# Number of iterations (recorded+unrecorded): 1009708518 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
233984417.88	4269.72
234984469.57	6219.59
235984372.28	1399.91
236984363.97	1370.91
237984196.68	2239.85
238984208.38	1510.90
239984180.07	4351.72
240983943.78	2230.85
241983905.48	1420.91
242983918.18	1349.91
243983889.88	1360.91
244983832.58	1740.89
245983714.28	4600.70
246870961.34	13499.12
246983696.98	2379.84
247983628.68	1790.88
248983531.38	1379.91
249983503.08	1350.91
250983445.78	3870.75
251983498.47	3170.79
252983260.18	6670.56
253983152.88	1650.89
254379558.00	9530.38
254983074.59	2760.82
255983017.29	2900.81
256982918.99	1680.89
257982871.69	3500.77
258982783.39	1761.88
259982726.09	1400.91
260982717.78	1351.91
261982690.48	36049.65
262982613.18	84357.49
263982474.89	3370.78
264982527.58	1700.89
265982329.29	1450.91
266982361.98	1340.91
267982293.68	1390.91
268982116.39	1370.91
269982069.09	3010.80
270982030.79	2810.82
271982073.48	1470.90
272981955.19	1360.91
273657110.10	9290.39
273981907.89	2120.86
274981809.59	1890.88
275981842.28	3400.78
276981653.99	1790.88
277981716.68	2630.83
278981619.38	1380.91
279981451.09	1340.91
280981403.79	2030.87
281981385.49	2790.82
282981288.19	1520.90
283981269.89	1370.91
284981092.59	2670.83
285981084.29	1340.91
286981056.99	2330.85
287980968.69	2771.82
288980891.39	2120.86
289980834.09	1450.91
290980695.80	1400.91
291980678.49	1470.90
292980600.19	1880.88
293980622.89	3020.80
294980504.59	1590.90
295980367.30	1920.87
296980429.99	1410.91
297980301.69	2490.84
298980244.39	1310.91
299980136.10	1300.92
300980038.80	1370.91
301980000.50	1360.91
302979953.20	3380.78
303561651.21	12760.17
303938056.63	320.98
303979964.89	3600.76
304979887.59	3440.78
305979789.30	1640.89
306979712.00	4600.70
307979774.69	1650.89
308979606.40	1300.92
309979499.10	1350.91
310979430.80	5640.63
311979433.50	1990.87
312979295.20	1720.89
313979297.90	1980.87
314979249.60	2571.83
315979192.29	3080.80
316979084.00	3091.80
317024193.05	420.97
317978956.70	1780.88
318979009.39	5020.67
319978941.10	1550.90
320637386.10	16100.95
320978753.80	4130.73
321978705.50	2740.82
322978758.20	2310.85
323093803.68	2150.86
323978689.90	12791.16
324978622.60	2330.85
325978545.30	1640.89
326978467.00	1380.91
327978259.71	4540.70
328978301.40	2030.87
329978214.10	1680.89
330978175.80	2320.85
331978088.50	1580.90
332977940.21	1330.91
333977862.91	2880.81
334977924.60	4141.73
335978227.28	2660.83
336977760.00	1620.89
337977651.71	2180.86
338977654.40	2240.85
339977526.11	2260.85
340977568.80	1590.90
341977460.50	1330.91
342977373.21	1300.92
343977264.91	1341.91
344977207.61	1300.92
345977100.31	1340.91
346977042.01	1270.92
347977084.70	1320.91
348976996.41	1340.91
349976929.11	1310.91
350976840.81	1280.92
351976713.51	1330.91
352784812.74	16240.94
352976635.21	4040.74
353976677.91	3400.78
354976540.61	1790.88
355976562.31	1570.90
356976395.01	2250.85
357976436.71	1460.90
358976359.41	1440.91
359976251.11	4190.73
360976183.81	6050.60
361976095.51	4051.74
362976038.21	4760.69
363976030.91	4350.72
364976102.60	3890.75
365975865.31	2750.82
366975727.02	2090.86
367420709.96	7891.48
367975799.71	3870.75
368975621.42	3040.80
369975534.12	1760.89
370975575.81	3061.80
371975408.52	2160.86
372845505.70	9470.38
372975370.22	2331.85
373975312.92	1450.91
374975375.61	3520.77
375975177.32	2090.86
376975130.02	1390.91
377975131.71	1300.92
378975034.41	1340.91
379974976.11	1980.87
380974908.81	2730.82
381974921.51	2850.81
382974733.22	1380.91
383974705.92	1320.91
384974617.62	1320.91
385974540.32	2480.84
386974482.02	4020.74
387974414.72	2250.85
388974336.42	2120.86
389974259.12	1320.91
390974170.82	5191.66
391974233.51	1390.91
392974076.22	2700.82
393974097.92	2610.83
394974030.62	1340.91
395973972.32	1690.89
396973775.02	1850.88
397973756.72	1400.91
398973739.42	2590.83
399973601.12	22800.51
399999140.46	6530.57
400907116.16	370.98
400973513.83	2180.86
401973476.52	4910.68
402150009.00	14191.07
402973588.21	9930.35
402983657.56	2751.82
403973460.92	3460.77
404973252.63	2100.86
405973315.32	1820.88
406973227.02	1600.90
407973189.72	1770.88
408973061.42	1380.91
409973034.12	3620.76
410972986.82	1750.89
411972798.53	1700.89
412972771.23	1550.90
413972772.92	2150.86
414972705.62	1530.90
415972637.32	3150.79
416972510.03	1400.91
417972511.72	1320.91
418972424.42	3930.74
419972496.12	1711.89
420870112.50	29580.07
420972378.82	1620.89
421972271.52	2560.83
422972153.23	2120.86
423972095.93	2700.82
424082571.71	2840.81
424971987.63	25160.36
425971940.33	2160.86
426971872.03	1540.90
427971824.73	1340.91
428971756.43	1321.91
429971679.13	1300.92
430971601.83	3090.80
431971513.53	1320.91
432971426.23	1290.92
433971487.93	1240.92
434971320.63	1340.91
435971252.33	2520.84
436849629.97	16529.92
436971255.03	3520.77
437971186.73	3120.80
438971129.43	2340.85
439971022.13	1540.90
440971013.83	1370.91
441970956.53	1330.91
441993635.05	8971.41
442970888.23	2230.85
443970750.93	3730.76
444316427.36	6760.56
444970672.64	2450.84
445970625.33	1590.90
446970667.03	1390.91
447970519.73	1300.92
448970422.44	1310.91
449970354.14	3010.80
450970236.84	1570.90
451970258.53	1420.91
452970141.24	1370.91
453970102.94	1320.91
454970035.64	2570.83
455969977.34	3351.78
455973368.12	7940.48
456969870.04	2500.84
457969822.74	1950.87
458969724.44	1480.90
459969807.13	1560.90
460969638.84	1330.91
461233748.59	7981.48
461969561.54	4060.73
462969503.24	3020.80
463969535.93	2380.84
464969377.64	1440.91
465969410.33	2370.85
466969283.04	1430.91
467969174.74	1320.91
468969087.44	3290.79
469969109.14	1640.89
470969071.84	2390.84
471968973.54	2200.86
472968896.24	1380.91
473968867.94	1350.91
474968810.64	4810.69
475968762.34	1450.91
476968575.04	1360.91
477968497.75	1990.87
478968439.45	1900.88
479968482.14	1800.88
480968283.85	3000.80
481968386.54	2040.87
482968238.24	2130.86
483968230.94	1810.88
484790010.27	390.97
484968133.64	1320.91
485968035.34	5140.66
486968098.04	2720.82
487967999.74	2000.87
488262168.53	17630.85
488574807.11	4880.68
488967812.45	4570.70
489967844.14	3390.78
490967736.84	2680.82
491967738.54	1890.88
492967591.24	1950.87
493967502.95	1330.91
494967425.65	1350.91
495967398.35	4000.74
496967310.05	1630.89
497967262.75	1690.89
498967224.44	1900.88
499967227.14	1390.91
500845813.76	11870.22
500967058.85	2690.82
501967021.55	4610.70
502966952.25	5452.64
503966995.94	2010.87
504966876.64	1552.90
505966700.35	1610.89
506966583.05	2020.87
507966554.75	6340.59
508052202.16	9569.38
508851861.94	330.98
508966477.45	3440.78
509966429.15	1879.88
510966410.85	1411.91
511966423.54	1400.91
512966276.25	1350.91
513966228.95	1340.91
514966189.65	2741.82
515966023.35	2600.83
516966025.05	2879.81
517965906.75	11271.26
518017834.36	9361.39
518965849.45	2790.82
519965782.15	1540.90
520965743.85	3760.75
521965736.55	2260.85
522965638.25	1810.88
523965540.95	3420.78
524940934.26	330.98
524965543.65	2130.86
525087308.70	2019.87
525965365.36	12120.21
526965448.05	3600.76
527965229.76	1460.90
528965302.45	1320.91
529965214.15	1330.91
530965136.85	1930.87
531965018.56	1320.91
532964961.26	3240.79
533964803.96	3090.80
534964905.65	2530.83
535964758.36	2839.81
536964740.05	2120.86
537964682.75	3130.80
538964624.45	3020.80
539964607.15	1240.92
540964439.86	1420.91
541964321.56	1290.92
542964344.26	1320.91
543076759.92	14680.04
543964275.96	2340.85
544964258.65	1550.90
545964100.36	1350.91
546964013.06	2000.87
547963964.76	1350.91
548963907.46	1440.91
549963799.16	2310.85
550963741.86	1460.90
551963664.56	1300.92
552963746.26	1320.91
553963658.96	1360.91
554925742.13	10861.29
554963490.66	3250.79
555963513.36	3370.78
556963355.07	1780.88
557963347.76	1900.88
558963299.46	4661.70
559963322.16	1920.87
560963193.86	1391.91
561962986.57	4730.69
562962999.26	1760.89
563962940.96	1640.89
564834558.04	11370.26
564962843.67	2230.85
565962845.36	3069.80
566962728.07	2600.83
567962779.76	4710.69
568672923.38	350.98
568962602.47	2950.81
569962515.17	6250.59
570962496.87	1570.90
571962339.57	1400.91
572962341.27	2080.86
573962233.97	1650.89
574962155.67	3610.76
575962228.36	2050.87
576962100.07	1960.87
577962032.77	1290.92
578961914.47	1340.91
579961877.17	1490.90
580961779.87	2730.82
581961701.57	2250.85
582961774.26	1780.88
583961635.97	1380.91
584961608.67	1320.91
585961510.37	2470.84
586961493.07	3720.76
587961514.76	1851.88
588961317.47	1470.90
589961239.17	1491.90
590961141.87	1960.87
591961064.57	1740.89
592961086.27	2070.86
593960978.97	1260.92
594961010.67	1280.92
595960893.37	1280.92
596960755.07	1330.91
597960677.78	2020.87
598960650.47	1310.91
599324606.71	16819.90
599960582.17	3870.75
599982351.75	13430.12
600960584.87	3480.77
601682487.73	5300.65
601960516.57	2430.84
602960359.28	1580.90
603960390.97	1390.91
604960223.68	1640.89
605960135.38	1630.89
606960228.07	3970.74
607960070.78	1670.89
608959992.48	1410.91
609960005.17	1350.91
610959776.88	1670.89
611959889.57	1340.91
612959821.27	3000.80
613959733.97	2250.85
614959625.68	1420.91
615959498.38	1320.91
616959400.08	1361.91
617959352.78	1380.91
618959325.48	3000.80
619959287.18	1930.87
620959169.88	1450.91
621959241.57	2350.85
622959034.28	3050.80
623959095.98	3420.78
624958927.68	3301.78
