# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn579.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997475 
# Number of iterations (recorded+unrecorded): 1017250632 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	5071.67
635647.84	370.98
1000134.24	3780.76
1999818.50	3251.79
2999732.76	2470.84
3999687.00	1800.88
4950172.46	9030.42
4999600.26	2211.86
5999634.50	2891.81
6999677.74	2292.85
7999383.01	17190.89
8999497.25	2699.83
9999350.50	1700.89
10999324.75	1550.90
11999149.01	1610.90
12999213.25	2030.87
13999066.50	2021.87
14999060.75	1689.89
15998994.00	1571.90
16998858.26	1901.88
17998903.50	1450.91
18998796.75	2350.85
19998761.00	5740.63
20998695.25	1990.87
21998548.51	2000.87
22998492.76	1489.90
23998417.01	1700.89
24998391.25	4020.74
25998374.50	8780.43
26998238.76	3060.80
27998173.01	1929.88
28998216.25	1461.91
29998130.50	1370.91
30988615.36	15230.01
31997919.01	2869.81
32997911.25	2520.84
33997806.51	1639.89
34997730.76	2839.82
35997705.00	2110.86
36997637.25	1711.89
37997441.51	3301.79
38997526.75	3880.75
39997419.01	1451.91
40997324.26	2179.86
41997278.51	25640.34
42150681.57	2981.81
42997281.75	7991.48
43007091.12	3081.80
43997156.01	4991.68
44997060.26	2379.85
45997074.51	2450.84
46996988.76	1479.90
47996932.01	1360.91
48996896.25	2600.83
49996800.51	1580.90
50996664.76	1479.90
51996587.01	1390.91
52996581.26	1330.91
53406466.72	12050.22
53996496.51	3939.74
54149349.61	400.97
54996528.75	2641.83
55996383.01	1840.88
56996228.27	2080.87
57996161.52	2140.86
58996265.76	1380.91
59996100.01	1339.91
60996034.26	4550.71
61996047.51	1461.91
62995920.76	1360.91
63995876.01	1339.91
64995810.26	1319.91
65995723.51	1819.88
66995696.76	4100.73
67995572.01	1810.88
68995555.26	3140.80
69995369.52	2339.85
