#size	rtt
1	2.024500
1	1.770000
1	1.624500
1	1.865000
1	1.555000
1	1.644500
1	1.600500
1	1.559500
1	1.565000
1	1.640000
1	1.675500
1	1.555000
1	1.664500
1	1.839500
1	1.859500
1	1.684500
1	2.079500
1	1.694500
1	1.680500
1	1.745000
1	1.689500
1	1.740000
1	1.649500
1	1.680000
1	1.769500
1	1.660000
1	1.840500
1	1.684500
1	1.720000
1	1.825000
1	1.784500
1	1.734500
1	1.730000
1	1.814500
1	1.735000
1	1.819500
1	1.775000
1	1.730000
1	1.680000
1	1.649500
1	1.705000
1	1.614500
1	3.470000
1	1.605000
1	1.664500
1	1.885000
1	1.765000
1	1.570000
1	1.810500
1	1.544500
1	1.600000
1	1.669500
1	1.594500
1	1.600000
1	1.700000
1	1.705000
1	1.720000
1	1.680000
1	1.799500
1	1.739500
1	1.720000
1	1.704500
1	2.139500
1	1.669500
1	1.729500
1	1.815000
1	1.690000
1	1.690000
1	1.715000
1	2.240000
1	1.779500
1	1.785000
1	1.705000
1	1.735000
1	1.680000
1	1.644500
1	1.680000
1	1.759500
1	1.725000
1	1.700000
1	1.720000
1	1.684500
1	1.734500
1	1.644500
1	1.664500
1	1.630000
1	1.634500
1	1.650000
1	1.649500
1	1.650500
1	1.614500
1	1.624500
1	1.660000
1	1.889500
1	2.044500
1	1.654500
1	1.555000
1	1.575000
1	1.590500
1	1.765000
1	1.655000
1	1.750000
1	1.700000
1	1.640000
1	1.600000
1	1.560000
1	1.644500
1	1.585000
1	1.614500
1	1.920000
1	1.700000
1	1.629500
1	1.680000
1	1.694500
1	1.740000
1	1.549500
1	1.535000
1	1.674500
1	1.589500
1	1.555500
1	1.680000
1	1.744500
1	1.624500
1	1.720000
1	1.714500
1	1.744500
1	1.805000
1	1.605000
1	1.599500
1	1.605000
1	1.555000
1	1.644500
1	1.620000
1	1.865000
1	1.730000
1	1.615000
1	1.579500
1	1.664500
1	1.644500
1	1.614500
1	1.600000
1	1.659500
1	1.644500
1	1.640000
1	1.675000
1	1.754500
1	1.674500
1	1.744500
1	1.715000
1	1.559500
1	1.580000
1	1.815000
1	1.634500
1	1.560000
1	1.575000
1	1.654500
1	1.610000
1	1.634500
1	1.650000
1	1.569500
1	1.565000
1	1.610000
1	1.610000
1	1.714500
1	1.565000
1	1.620000
1	1.889500
1	1.704500
1	1.710000
1	1.559500
1	1.614500
1	1.599500
1	1.635000
1	1.720000
1	1.650000
1	1.535000
1	1.559500
1	1.569500
1	1.525000
1	1.589500
1	1.810000
1	1.605000
1	1.585000
1	1.575000
1	1.595000
1	1.585000
1	1.765000
1	1.534500
1	1.630000
1	1.750000
1	1.835500
1	1.654500
1	1.545000
1	1.565000
1	1.589500
1	1.730000
1	1.624500
1	1.580000
1	1.560000
1	1.600000
1	1.609500
1	1.624500
1	1.559500
1	1.619500
1	1.659500
1	1.660000
1	1.629500
1	1.565000
1	1.585000
1	1.545000
1	1.590000
1	1.605000
1	1.680000
1	1.605000
1	1.664500
1	1.559500
1	1.595000
1	1.569500
1	1.669500
1	1.860000
1	1.595000
1	1.634500
1	1.700000
1	1.639500
1	1.724500
1	1.614500
1	1.595000
1	1.579500
1	1.650000
1	1.640500
1	1.575000
1	1.575000
1	1.584500
1	1.584500
1	1.580000
1	1.575000
1	1.604500
1	1.595000
1	1.604500
1	1.554500
1	1.595000
1	1.684500
1	1.590000
1	1.669500
1	1.584500
1	1.625000
1	1.700000
1	1.575000
1	1.630000
1	1.624500
1	1.605000
1	1.530000
1	1.610000
1	1.649500
