# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
136937720,1000000000,1
369611,1000000000,1
134843,1000000000,1
204266,1000000000,1
130773,1000000000,1
128064,1000000000,1
201167,1000000000,1
125023,1000000000,1
130544,1000000000,1
199965,1000000000,1
133833,1000000000,1
135464,1000000000,1
134295,1000000000,1
192226,1000000000,1
128983,1000000000,1
134294,1000000000,1
132835,1000000000,1
137234,1000000000,1
125753,1000000000,1
200556,1000000000,1
151083,1000000000,1
135195,1000000000,1
129063,1000000000,1
146385,1000000000,1
138994,1000000000,1
132304,1000000000,1
133905,1000000000,1
209446,1000000000,1
135614,1000000000,1
176585,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
124625386,800000000,1
157165,800000000,1
202786,800000000,1
115834,800000000,1
134155,800000000,1
129484,800000000,1
201656,800000000,1
114423,800000000,1
132964,800000000,1
125794,800000000,1
125063,800000000,1
185666,800000000,1
127063,800000000,1
121204,800000000,1
126473,800000000,1
118733,800000000,1
159915,800000000,1
119193,800000000,1
196916,800000000,1
123263,800000000,1
127643,800000000,1
119723,800000000,1
126183,800000000,1
136013,800000000,1
131584,800000000,1
122312,800000000,1
186795,800000000,1
120673,800000000,1
134754,800000000,1
123593,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
136968811,600000000,1
144565,600000000,1
202656,600000000,1
128153,600000000,1
135084,600000000,1
160884,600000000,1
200146,600000000,1
123814,600000000,1
132135,600000000,1
125444,600000000,1
116833,600000000,1
129244,600000000,1
200535,600000000,1
123023,600000000,1
125734,600000000,1
123394,600000000,1
129553,600000000,1
131854,600000000,1
193576,600000000,1
118563,600000000,1
129554,600000000,1
124444,600000000,1
132933,600000000,1
126284,600000000,1
129654,600000000,1
126253,600000000,1
126394,600000000,1
197346,600000000,1
129553,600000000,1
135685,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
137469287,400000000,1
150335,400000000,1
199686,400000000,1
127714,400000000,1
128313,400000000,1
124193,400000000,1
126983,400000000,1
124474,400000000,1
194656,400000000,1
124564,400000000,1
120474,400000000,1
120683,400000000,1
131944,400000000,1
128423,400000000,1
118864,400000000,1
124414,400000000,1
199246,400000000,1
124044,400000000,1
120393,400000000,1
116933,400000000,1
123743,400000000,1
118814,400000000,1
119114,400000000,1
119333,400000000,1
129273,400000000,1
121143,400000000,1
195515,400000000,1
122023,400000000,1
128123,400000000,1
129915,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
136381301,200000000,1
145114,200000000,1
130964,200000000,1
301789,200000000,1
195775,200000000,1
127014,200000000,1
126385,200000000,1
117394,200000000,1
129563,200000000,1
122243,200000000,1
118894,200000000,1
123483,200000000,1
126753,200000000,1
121053,200000000,1
187935,200000000,1
124694,200000000,1
129453,200000000,1
121013,200000000,1
116543,200000000,1
123074,200000000,1
129284,200000000,1
121064,200000000,1
117684,200000000,1
120464,200000000,1
125223,200000000,1
122904,200000000,1
119403,200000000,1
192876,200000000,1
132364,200000000,1
126043,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
128043266,0,1
111752,0,1
94073,0,1
94704,0,1
94943,0,1
95273,0,1
95942,0,1
93992,0,1
95552,0,1
94363,0,1
95972,0,1
95173,0,1
94712,0,1
94523,0,1
95533,0,1
93213,0,1
96422,0,1
95012,0,1
97342,0,1
95443,0,1
94913,0,1
95013,0,1
94323,0,1
94423,0,1
96902,0,1
94622,0,1
94662,0,1
95303,0,1
94333,0,1
95033,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
133685996,200000001,1
147074,200000001,1
121794,200000001,1
197876,200000001,1
130173,200000001,1
119063,200000001,1
120514,200000001,1
126153,200000001,1
135945,200000001,1
122783,200000001,1
121274,200000001,1
126244,200000001,1
127294,200000001,1
161204,200000001,1
121764,200000001,1
118443,200000001,1
125394,200000001,1
118794,200000001,1
122594,200000001,1
123993,200000001,1
128364,200000001,1
122003,200000001,1
118422,200000001,1
116103,200000001,1
127453,200000001,1
121163,200000001,1
157815,200000001,1
123514,200000001,1
130114,200000001,1
124474,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
136942070,400000001,1
148755,400000001,1
191705,400000001,1
115823,400000001,1
132773,400000001,1
126834,400000001,1
127894,400000001,1
122273,400000001,1
193105,400000001,1
138465,400000001,1
120903,400000001,1
129454,400000001,1
129884,400000001,1
124934,400000001,1
122804,400000001,1
130575,400000001,1
196435,400000001,1
133294,400000001,1
124394,400000001,1
121754,400000001,1
133724,400000001,1
120234,400000001,1
117292,400000001,1
119533,400000001,1
125804,400000001,1
122063,400000001,1
189886,400000001,1
122934,400000001,1
126274,400000001,1
122323,400000001,1
# Hoverboard test (1048576 1 600000001)
# time(ns),sleep_time(ns),repetitions
137104706,600000001,1
359112,600000001,1
125864,600000001,1
124654,600000001,1
128274,600000001,1
122704,600000001,1
193855,600000001,1
121224,600000001,1
126513,600000001,1
122954,600000001,1
125414,600000001,1
196726,600000001,1
130674,600000001,1
124834,600000001,1
126983,600000001,1
130453,600000001,1
128784,600000001,1
134693,600000001,1
200337,600000001,1
123684,600000001,1
131674,600000001,1
124963,600000001,1
122384,600000001,1
125904,600000001,1
132153,600000001,1
123183,600000001,1
117394,600000001,1
199057,600000001,1
130963,600000001,1
119852,600000001,1
# Hoverboard test (1048576 1 800000001)
# time(ns),sleep_time(ns),repetitions
137661473,800000001,1
359641,800000001,1
118813,800000001,1
128584,800000001,1
126314,800000001,1
208197,800000001,1
118923,800000001,1
133803,800000001,1
125444,800000001,1
121014,800000001,1
115594,800000001,1
197706,800000001,1
125573,800000001,1
126174,800000001,1
118424,800000001,1
123163,800000001,1
131983,800000001,1
207566,800000001,1
122713,800000001,1
124314,800000001,1
129244,800000001,1
129044,800000001,1
115874,800000001,1
126294,800000001,1
129194,800000001,1
144235,800000001,1
118763,800000001,1
203226,800000001,1
129323,800000001,1
126154,800000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
136890618,1000000001,1
371341,1000000001,1
125995,1000000001,1
199826,1000000001,1
129463,1000000001,1
126653,1000000001,1
196937,1000000001,1
125804,1000000001,1
133133,1000000001,1
210006,1000000001,1
168614,1000000001,1
129554,1000000001,1
133564,1000000001,1
202245,1000000001,1
132274,1000000001,1
124313,1000000001,1
131844,1000000001,1
126413,1000000001,1
124733,1000000001,1
205687,1000000001,1
142055,1000000001,1
127984,1000000001,1
128663,1000000001,1
128134,1000000001,1
133594,1000000001,1
125744,1000000001,1
124343,1000000001,1
198006,1000000001,1
138244,1000000001,1
131784,1000000001,1
