# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn449.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.998343 
# Number of iterations (recorded+unrecorded): 1022762237 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
264988699.63	1873.92
265988610.14	2765.88
266988659.65	2876.88
267988651.16	2825.88
268988580.68	2415.90
269988561.19	2204.91
270988471.70	2334.90
271988382.21	1472.94
272988412.72	2284.90
273988312.24	3096.87
274988362.74	2866.88
275988183.26	524705.71
276512927.97	5421.77
276988243.77	4438.81
277988184.28	2875.88
278988153.79	2666.89
279103914.87	2104.91
279988174.30	79305.63
280988094.82	3367.86
281988085.33	1894.92
282987915.84	3086.87
283987906.35	4779.80
284987835.87	3577.85
285987896.37	2215.91
286987676.89	2885.88
287987657.40	1523.94
288987747.91	3907.83
289987668.42	4298.82
290987597.94	2275.90
291987638.45	3667.84
292987478.96	2735.88
293987499.47	2354.90
294987439.98	3005.87
295987420.49	3626.85
296987390.01	2124.91
297987270.52	1523.94
298987341.03	2344.90
299987301.54	2765.88
300987162.06	1452.94
301987171.57	2295.90
302987082.08	2715.88
303987092.59	3447.85
304987023.10	3046.87
305987023.61	2294.90
306986924.13	3416.85
307986863.64	2295.90
308986864.15	2515.89
309986804.66	2906.88
310986805.17	3386.86
311986675.69	2424.90
312986716.19	3346.86
313986665.71	3096.87
314986546.22	2926.88
315986616.73	2064.91
316986437.25	2294.90
317986457.76	3546.85
318986488.26	2324.90
319986417.78	3226.86
320986428.29	1483.94
321986298.80	1473.94
322986319.31	1503.94
323986189.83	1512.94
324986220.34	1482.94
325986089.85	1553.93
326986050.36	1453.94
327986040.87	1533.93
328985971.39	1493.94
329986011.89	1422.94
330985991.41	1473.94
331985871.92	1453.94
332985872.43	1493.94
333985722.95	4498.81
334985763.45	1503.94
335985793.96	1462.94
336985623.48	1473.94
337985663.99	1533.93
338985564.50	1483.94
339985585.01	1463.94
340985444.53	1463.94
341985455.04	1483.94
342985455.55	1513.94
343985356.06	1513.94
344985226.58	1483.94
345985257.09	1793.92
346985267.60	1542.93
347985177.11	4930.79
348985127.62	66452.18
349985088.13	3867.84
350985058.64	1483.94
351985109.15	3256.86
352984959.67	1502.94
353985020.18	1472.94
354984889.69	3086.87
355984880.20	1493.94
356984780.72	1513.94
357984831.22	1503.94
358984700.74	1483.94
359984731.25	2846.88
360984691.76	1403.94
361984602.27	2414.90
362984582.79	2294.90
363984452.30	1483.94
364984502.81	1443.94
365984453.32	1483.94
366984343.84	1503.94
367984394.34	3176.87
368984384.85	2054.91
369984285.37	1482.94
370984144.88	1473.94
371984135.39	1513.94
372984205.90	1493.94
373984066.42	1473.94
374984086.93	1452.94
375984057.44	1472.94
376983946.95	1754.93
377983927.46	1493.94
378983957.97	1473.94
379983828.49	1493.94
380161591.93	1833.92
380983859.00	7263.69
381983758.51	1714.93
382983629.03	1503.94
383983659.53	1473.94
384983700.04	2845.88
385983640.56	4017.83
386983611.07	3015.87
387983581.58	2835.88
388983551.09	2335.90
389983451.60	3236.86
390983322.12	2364.90
391983392.63	2424.90
392983252.14	2866.88
393983262.65	2896.88
394983133.17	2164.91
395983193.67	1543.93
396983154.19	2094.91
397982993.70	2796.88
398983044.21	1493.94
399982934.73	1463.94
400982945.23	2395.90
401982905.75	3276.86
402982796.26	2364.90
403982735.77	2726.88
404982746.28	3006.87
405982696.80	3276.86
406982757.30	2174.91
407982657.82	3346.86
408982628.33	1813.92
409982517.84	2766.88
410982578.35	1513.94
411982498.86	2625.89
412982359.38	2434.90
413982359.89	2054.91
414982309.40	1533.93
415982340.91	1522.94
416982280.42	1453.94
417982290.93	3156.87
418982221.45	3086.87
419982061.96	2013.91
420982162.47	1513.94
421982021.98	1483.94
422982042.49	2405.90
423982053.00	2635.89
424981963.52	2434.90
425981954.03	2204.91
426981793.54	1894.92
427981764.05	3086.87
428981804.56	2164.91
429981725.08	2334.90
430981675.59	2174.91
431981606.10	2755.88
432981646.61	1472.94
433981496.13	3046.87
434981476.64	1503.94
435981527.14	2264.90
436981397.66	1412.94
437981327.17	1473.94
438981327.68	1473.94
439981358.19	1533.93
440981248.71	1523.94
441981179.22	1463.94
442981199.73	1463.94
443981220.24	3927.83
444981049.76	3026.87
445981010.27	1523.94
446980930.78	1823.92
447980971.29	1523.94
448980861.80	2384.90
449980801.32	2786.88
450980871.82	2405.90
451980692.34	3236.86
452980712.85	2475.89
453980653.36	2945.87
454980723.87	2825.88
455980633.38	1543.93
456980543.90	1824.92
457980454.41	3757.84
458980514.92	1523.94
459980405.43	1503.94
460980465.94	4699.80
461980415.45	2716.88
462980395.96	1483.94
463980276.48	1493.94
464980326.99	1513.94
465980197.50	1483.94
466980067.02	2315.90
467980117.52	3046.87
468980118.03	1483.94
469979968.55	2475.89
470980029.06	2074.91
471979858.58	1473.94
472979879.08	1483.94
473979899.59	1533.93
474979790.11	1513.94
475979720.62	1453.94
476979741.13	1463.94
477979731.64	1482.94
478979581.16	1463.94
479979591.67	1884.92
480979502.18	1553.93
481085354.68	1713.93
481979472.69	4999.79
482979473.20	1903.92
483979413.71	1502.94
484979303.23	1493.94
485979363.74	1443.94
486979304.25	1493.94
487979164.77	1512.94
488979215.27	1503.94
489979094.79	1473.94
490979115.30	1483.94
491979155.81	1453.94
492978966.32	1503.94
493979026.83	1503.94
494978947.34	1392.94
495978876.86	1463.94
496978877.37	2114.91
497978887.88	2866.88
498978828.39	2435.90
499978688.91	2123.91
500978699.42	2153.91
501978598.93	4068.83
502978628.44	2174.91
502980842.34	3949.83
503978569.95	1623.93
504978550.46	3086.87
505978449.98	2726.88
506978419.49	1483.94
507978420.00	1444.94
508978420.51	1503.94
509978292.02	1473.94
510978312.53	1483.94
511978192.05	1453.94
512978202.56	1503.94
513978063.07	1513.94
514978133.58	2014.91
515978044.09	1503.94
516978104.60	1483.94
517977935.12	3004.87
518977884.63	2535.89
519977844.14	2255.90
520977815.65	2505.89
521977775.16	2005.91
522977816.67	1523.94
523977727.19	1462.94
524977745.70	1463.94
525977577.21	1472.94
526977577.72	1483.94
527977587.23	2264.90
528977417.75	1472.94
529977427.26	2266.90
530977398.77	2725.88
531977409.28	2425.90
532977399.79	2485.89
533977330.30	3516.85
534977300.81	2634.89
535977219.33	2174.91
536977140.84	1533.93
537977051.36	1813.92
538977091.86	2765.88
539977002.38	1492.94
540977021.89	1473.94
541976862.40	2254.90
542976872.91	2785.88
543976913.42	2405.90
544976733.94	2444.90
545976784.45	2615.89
546976834.95	3206.86
547976664.47	2906.88
548976614.98	2655.89
549976685.49	1934.92
550976556.01	2755.88
551976566.52	3877.84
552976416.03	2144.91
553976496.54	2194.91
554976467.05	3988.83
555976277.57	2334.90
556976358.07	2264.90
557976328.59	2454.90
558976228.10	3026.87
559976228.61	3146.87
560976139.12	2895.88
561976149.63	1823.92
562976020.15	2514.89
563975959.66	1543.93
564976010.17	1483.94
565975910.68	1493.94
566975911.19	1533.93
567975831.71	3045.87
568975782.22	1482.94
569975821.73	1473.94
570975692.24	1513.94
571975732.75	2395.90
572975693.26	2074.91
573975633.78	1483.94
574975533.29	1473.94
575975513.80	1513.94
576975384.32	1513.94
577975434.82	1433.94
578975395.34	1463.94
579975415.84	1483.94
580975285.36	1874.92
581975215.87	1533.93
582078794.47	1653.93
582975256.38	5210.78
583975256.89	3356.86
584975097.41	2554.89
585975067.92	2564.89
586975027.43	2575.89
587975027.94	3807.84
588975038.45	3316.86
589974858.97	2184.91
590974949.47	2665.89
591974849.99	2013.91
592974799.50	2896.88
593974670.02	2495.89
594974680.53	2424.90
595974661.04	1914.92
596974701.54	3677.84
597974541.06	2435.90
598974571.57	2806.88
599974472.08	2343.90
600974382.60	3296.86
601974352.11	3127.87
602974393.62	1523.94
603974283.13	1854.92
604974212.65	3588.85
605974254.15	1513.94
606974164.67	1483.94
607974195.18	1463.94
608974024.69	1483.94
609974075.20	1513.94
610973965.72	1513.94
611974036.22	3637.85
612973966.74	2374.90
613973927.25	1483.94
614973746.77	1533.93
615973827.27	1884.92
616973747.79	1543.93
617973678.30	3216.86
618973628.81	1513.94
619973699.32	1523.94
620973588.83	1473.94
621973609.34	1473.94
622973439.86	2204.91
623973540.36	2054.91
624973330.88	1472.94
625973361.39	1452.94
626973340.90	1443.94
627973291.41	1473.94
628973321.92	1503.94
629973212.44	1512.94
630973252.95	1463.94
631973122.46	1453.94
632973102.97	1764.93
633973083.48	2845.88
634973024.00	1492.94
635972874.51	1472.94
636972865.02	2815.88
637972964.53	2626.89
638972875.04	2325.90
639972805.56	2264.90
640972776.07	2905.88
641972735.58	2626.89
642972646.09	2165.91
643972536.61	1543.93
644972617.11	3046.87
645972477.63	2745.88
646972468.14	1803.92
647972458.65	1493.94
648972359.16	1873.92
649972418.67	1523.94
650972338.19	1755.93
651972329.70	3497.85
652972260.21	2464.90
653972160.72	1823.92
654972201.23	3346.86
655972120.74	1473.94
656972141.25	1443.94
657971981.77	1803.92
658971992.28	1813.92
659971991.79	1484.94
660971852.31	3377.86
661971842.82	1473.94
662971883.32	1472.94
663971723.84	1513.94
664971774.35	3667.84
665971734.86	6722.71
666971674.37	5030.79
667971654.88	5340.77
668971675.39	5160.78
669971495.91	5540.76
670971396.43	4177.82
671971365.94	4900.79
672971435.44	4780.80
673971345.96	5711.76
674971287.47	5150.78
675971297.98	5210.78
676971136.50	4560.81
677791200.65	1583.93
677971188.00	5781.75
678971188.51	4429.81
679971109.03	3938.83
680970989.54	3176.87
681971100.05	3206.86
682970950.56	3486.85
683074609.16	2024.91
683970929.08	7826.67
684970810.59	3216.86
685970791.10	3837.84
686970801.61	3637.85
687970782.12	1903.92
688970701.63	3537.85
688988424.88	1963.92
689970712.14	5130.78
690970592.66	4308.82
691970653.17	4929.79
692725127.11	4288.82
692759539.65	2845.88
692970563.68	5370.77
