# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn627.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997140 
# Number of iterations (recorded+unrecorded): 1003799976 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	4990.63
999979.66	5461.60
2000020.32	1730.87
2999830.00	6131.55
3999709.67	2091.85
4999670.33	1851.86
5999591.00	1379.90
6999570.66	3849.72
7999600.32	3270.76
8999409.99	9501.30
9999340.66	12280.10
10999360.32	2820.79
11999259.99	3090.77
12999129.66	1670.88
13999050.32	1539.89
14998889.00	1801.87
15998809.66	5180.62
16998950.31	2680.80
17998769.99	2100.85
18998619.66	1390.90
19998598.32	2391.82
20998489.99	1350.90
21998428.66	1321.90
22998459.32	1370.90
23998257.99	1681.88
24998229.65	1419.90
25998249.31	1270.91
26998107.99	1330.90
27998028.65	1280.91
28997899.32	1320.90
29425351.97	24950.17
29663192.53	5970.56
29875693.95	5660.58
29997808.99	4030.70
30074645.36	3060.78
30288256.69	3291.76
30994598.89	7120.48
31997698.32	2210.84
32997598.99	3680.73
33997638.65	1750.87
34997478.32	1790.87
35997407.99	2440.82
36997358.65	3220.76
37997208.32	16919.76
38015587.97	4020.71
38240838.46	340.97
38997237.98	2610.81
39997167.65	2230.84
40997018.32	1410.90
41997037.98	1360.90
42996947.65	2430.82
43996877.31	2110.85
44996757.98	2980.78
45996737.65	1480.89
46996647.31	1380.90
47996486.99	2090.85
48996497.65	1630.88
49996487.31	1390.90
50996276.98	1430.90
51996297.64	1380.90
52996127.32	1690.88
53996066.98	1310.90
54995966.65	1370.90
55995876.32	1310.90
56995956.97	1320.90
57995826.64	1280.91
58995686.32	1730.87
59995686.98	1330.90
60995606.64	1630.88
61995506.31	2430.82
62995425.98	1300.90
63995315.65	1331.90
64995236.31	2920.79
65995235.98	2620.81
66995155.64	1930.86
67995026.31	1370.90
68994985.98	1640.88
69994915.64	1310.90
70994815.31	2350.83
71994714.98	1561.89
72994715.64	1320.90
73994575.31	1500.89
74994524.98	1770.87
75994575.63	1430.90
76994385.31	1330.90
77994304.98	1350.90
78994244.64	1470.89
79994164.31	1781.87
80994214.97	1590.88
81994074.64	1590.88
82993904.31	1300.90
83993964.97	1290.91
84993834.64	4580.66
85994094.28	1730.87
86993633.97	2810.79
87993654.63	1450.89
88993594.30	1640.88
89993503.97	1540.89
90993313.64	4431.67
91993484.29	2290.83
92993203.97	1620.88
93993103.64	2250.83
94889987.86	4860.64
94993103.30	87127.61
95993023.97	2740.80
96993013.63	1550.89
97992833.30	1360.90
98992782.97	1330.90
99992703.64	4870.64
100992853.29	2460.82
101992632.96	2220.84
102992442.64	1411.90
103992443.30	2040.85
104992432.96	1270.91
105992292.63	2610.81
106992222.30	1290.91
107992102.97	2630.81
108992052.63	1430.90
109991942.30	1600.88
110442564.25	22270.37
110991891.97	4731.65
111991812.63	2070.85
112991842.29	1980.85
113991681.96	2690.80
114991681.63	2641.81
115991642.29	2570.81
116991521.96	2240.84
117991501.62	3900.71
118991341.29	1851.86
119991191.97	1450.89
120991251.62	1560.89
121991100.29	1291.91
122123555.58	380.97
122990979.96	1280.91
123752971.08	8870.35
123991010.62	3230.76
124990880.29	1941.86
125990869.96	1780.87
126990740.63	1411.90
127990730.29	1990.85
128990679.95	1490.89
129990579.62	2141.84
130951302.16	4490.67
130990490.29	2190.84
131990339.96	2360.83
132990289.63	1500.89
133990289.29	1421.90
134990119.96	1330.90
135990039.63	1671.88
136989979.29	1601.88
137989989.95	1669.88
138989860.62	1359.90
139989809.29	1270.91
140989669.96	1299.90
141989739.61	1970.86
142989660.28	2429.82
143989489.95	1590.88
144989398.62	2421.82
145989309.29	2550.81
146989358.95	1540.89
147989128.63	1311.90
148989208.28	1521.89
149989147.95	1380.90
150664271.43	320.98
150988978.62	3060.78
151988879.29	2659.80
152988848.95	1309.90
153988757.62	2662.80
154988738.28	2320.83
155988648.95	1549.89
156988658.61	1269.91
157988517.28	2550.81
158988337.95	1351.90
159988277.62	1301.90
160988347.28	1650.88
161988276.94	1321.90
162988188.61	1450.89
163988087.28	2001.85
164988047.94	1380.90
165987837.62	2951.78
166987798.28	1660.88
167987746.95	2070.85
168987637.62	4360.68
169987716.27	2951.78
170987436.95	1490.89
171987466.61	1301.90
172366222.83	10840.20
172987386.28	5550.59
173987276.95	2191.84
174438768.84	11520.16
174487257.28	4359.68
174521805.75	3299.76
174987217.61	3469.75
175987147.28	1980.85
176718676.63	411.97
176987136.94	4110.70
177986975.61	2432.82
178986877.28	1960.86
179986796.95	2780.80
180986815.61	1750.87
181986796.27	2731.80
182986665.94	1290.91
183986545.61	5001.63
184986685.26	2500.82
185986454.94	3792.72
186986285.61	1600.88
187986336.27	2059.85
188986215.94	1430.90
189986096.61	1240.91
190986066.27	1290.91
191985955.94	2390.82
192985925.61	2190.84
193985895.27	2230.84
194167747.93	2070.85
194985835.93	16469.79
195985785.60	2650.81
196985574.27	1580.88
197985604.93	1361.90
198985555.60	1370.90
199985464.27	1320.90
200985374.93	3310.76
201985304.60	2461.82
202985255.26	1550.89
203985084.94	1280.91
204984954.61	1410.90
205984955.27	1299.90
206006243.71	369.97
206984843.94	1261.91
207984883.60	2611.81
208984763.27	2971.78
209984594.94	2770.80
210221345.58	14519.94
210984544.60	3530.74
211984574.26	2020.85
212984393.94	1829.87
213984314.60	1369.90
214984264.27	2599.81
215984183.94	1790.87
216984242.59	1342.90
217983994.27	1910.86
218984042.93	1280.91
219983912.60	1650.88
220983833.27	1270.91
221983832.93	1311.90
222983733.60	1359.90
223983692.26	2000.85
224983592.93	1610.88
225983473.60	1449.89
226983362.27	1691.88
227983301.93	1530.89
228983281.60	1640.88
229379686.52	7201.47
229983183.26	3889.71
230983112.93	1869.86
231983171.59	1740.87
231984951.46	8902.35
232983063.26	1789.87
233982942.92	1409.90
234982772.60	1580.88
235982802.26	1370.90
236049638.36	320.98
236982732.92	2050.85
237982562.60	2819.79
238444803.70	5550.59
238982532.26	2010.85
239982501.92	1650.88
240982371.59	1341.90
241982302.26	1510.89
242982270.92	2511.82
243982131.59	2260.83
244982071.26	3710.73
245982010.93	2571.81
246981890.60	1420.90
247981901.26	2010.85
248981871.92	1510.89
249981651.60	2180.84
250981611.26	1340.90
251981570.92	1440.89
252981601.58	4690.66
253981521.25	5840.57
254981360.92	2000.85
255981400.58	2970.78
256981261.25	2020.85
257981240.91	2960.78
258981010.59	3380.75
259981170.24	1700.88
260980940.92	2520.82
261980920.58	1760.87
262980820.25	1710.87
263980709.92	1290.91
264980620.59	2470.82
265980550.25	1310.90
266980449.92	1290.91
267980329.59	5351.61
268980550.24	2960.78
269980199.92	1810.87
270980149.59	1400.90
271980139.25	2130.84
272980089.91	1330.90
273979969.58	1290.91
274979839.25	1430.90
275979858.91	2471.82
276979779.58	1420.90
277979659.25	1240.91
278520887.56	19570.56
278979648.91	3340.75
279979499.58	1980.85
280979479.25	1620.88
281979368.92	1300.90
282979268.58	1420.90
283979228.25	1361.90
284979138.91	1420.90
285979128.58	3570.74
286979058.24	1890.86
287978978.91	1430.90
288978818.58	1440.89
289888971.83	340.97
289978838.24	1300.90
290978727.91	1280.91
291978597.58	2081.85
292978628.24	1390.90
293978467.91	1660.88
294091583.62	1960.86
294978517.57	12091.11
295978298.25	3400.75
296978337.91	1780.87
297978207.58	1350.90
298978147.24	1320.90
299978057.91	1900.86
300978097.57	1340.90
301977847.25	1310.90
302436718.59	9041.34
302485057.05	4010.71
302977916.90	3450.75
303977737.58	2270.83
304977777.23	3710.73
305977576.91	2370.83
306779485.10	9090.33
306977596.57	11861.13
307025255.07	1270.91
307977447.24	4050.70
308977356.91	1710.87
309977346.57	3060.78
310977216.24	2060.85
311977276.90	1470.89
312977156.57	1760.87
313977026.24	3330.76
314977005.90	3741.73
315976936.57	1320.90
316976846.24	1310.90
317976745.90	6110.55
318976715.57	1980.85
319976646.23	1530.89
320976585.90	1440.89
321976475.57	3580.74
322976415.23	1791.87
323976335.90	1360.90
324976295.56	2040.85
325976105.24	1490.89
326976024.91	1280.91
327679297.33	6340.53
327976075.56	2840.79
328975935.23	1910.86
329975844.90	1510.89
330975804.57	1531.89
331975745.23	2160.84
332975724.89	1720.87
333975504.57	1590.88
334975454.24	1590.88
335975434.90	1530.89
336975424.56	4950.64
337975424.22	2880.79
338975214.90	1570.88
339975154.56	2570.81
340975094.23	1810.87
341975033.89	4100.70
342975003.56	1761.87
343974904.22	1960.86
344974743.90	1560.89
345974723.56	2390.82
346974564.23	1690.88
347974533.90	2140.84
348974473.56	1400.90
349974453.22	1380.90
350974283.90	1770.87
351974373.55	5450.60
352974143.23	2550.81
353974102.89	1410.90
354974053.56	1450.89
355973963.23	1950.86
356973872.89	1310.90
