# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn943.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997535 
# Number of iterations (recorded+unrecorded): 993209412 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	4420.72
999924.79	5251.67
1999829.58	4340.73
2939235.19	321.98
2999764.37	2160.86
3999738.15	2310.85
4999622.94	3019.81
5999515.73	4950.69
6999541.52	22159.60
7999355.31	3030.81
8999290.10	3250.79
9999313.88	10860.31
10999228.67	2640.83
11999162.46	2880.82
12999207.24	10090.36
13999012.04	3810.76
14998955.83	2140.86
15998870.62	2020.87
16998874.40	2270.86
17998879.18	2110.87
18998762.97	2870.82
19998687.76	2310.85
20998631.55	2200.86
21998466.34	2520.84
22998451.13	2040.87
23998354.92	1980.87
24998289.71	4910.69
25998293.49	9890.37
26998238.28	2900.82
27765500.78	14570.08
27998122.07	2560.84
28998146.85	1620.90
29998040.64	1440.91
30394645.57	7611.52
30997904.44	5210.67
31997848.22	3411.78
32997773.01	1941.88
33997758.80	1550.90
34997722.58	5010.68
35997777.36	3800.76
36997630.16	8030.49
37997544.95	4711.70
38997399.74	1979.87
39997353.53	1541.90
40997357.31	1751.89
41997213.10	31560.00
42997147.89	3830.76
43997120.68	2850.82
44997035.47	2091.87
45997129.25	1341.92
46996905.04	1410.91
47996908.83	1400.91
48996772.62	1351.91
49996686.41	2711.83
50996722.19	3110.80
51996654.98	1401.91
52996510.77	1309.92
53996604.55	1241.92
54996429.35	5289.67
55996463.13	1750.89
56996256.92	2610.83
57996282.71	1399.91
58996185.50	2940.81
59996221.28	1960.88
60996105.07	1970.88
61996049.86	1289.92
62995933.65	1889.88
63995918.43	1689.89
64995893.22	1569.90
65995736.01	1241.92
66995751.80	2140.86
67995715.58	1500.91
68995620.37	1990.87
69995564.16	2410.85
70995478.95	2660.83
71484951.01	14781.07
71995402.74	4151.74
72995347.53	2710.83
73995291.31	1890.88
74995226.10	2120.87
75749159.44	11190.29
75995150.89	2150.86
76995083.68	2511.84
77994918.47	1641.90
78994923.26	3360.79
79994838.05	1750.89
80994821.83	1540.90
81994826.62	1519.90
82994730.41	1430.91
83994615.20	1390.91
84091472.07	5100.68
84994579.98	2630.83
85994553.77	1700.89
86994478.56	1440.91
87994381.35	1361.91
88994337.13	1330.92
89994259.92	2021.87
